name,Mostownia,Zdrofit,Teatr Leśny,Taurus,Dance Atelier Barbara Materka - Szkoła Tańca,Soszyńska Dance Academy,Tone Zone,,My Gim,Zdrofit,CityFit,Joga Park,Arkon Squash & Gym,Zdrofit,Akademos - Klub fitness,Zdrofit,Fred Astaire,Speed4Fit,Zdrofit,Calypso,,Janoka Joga,Studio Figura,Mama Joga,,,,,,Total Fitnes,Strong Schab Fitness,Joga Studio nad Motławą,Gymbee,Garden Clinic Healthcare & Fitness,Studio Sylwetki Forfit,Elewator,Meon EMS,Scena Teatralna NOT,Zdrofit,Zdrofit,Fit Point,U7 Bowling,,Zdrofit,Fitness Magnum,BlueFit,All for body,Fitimpuls,All Time Fitness,Chinchilla Joga,City Pilates,ReStart Studio,Stadion Żużlowy im. Zbigniewa Podleckiego,Teatr Wybrzeże,Polska Filharmonia Bałtycka im. Fryderyka Chopina,,Stadion Miejski,MKS Atleta,Teatr Miniatura,,Polsat Plus Arena Gdańsk,Ergo Arena,,,Just GYM,Amfiteatr,Amfiteatr Orana,,,,,Gdański Stadion Lekkoatletyczny i Rugby,,Opera Bałtycka,Gdański Teatr Szekspirowski
Matejki 02,0.17547686296137374,1.709259211684317,1.185709990750623,11.119839347440589,2.776147769508567,1.038412299732713,1.0698994923951588,2.6961969906872234,10.735222242135666,1.709259211684317,3.4380496238410956,0.8693533981360569,4.210175204471393,1.709259211684317,6.026950799990166,1.709259211684317,0.5880639175518597,5.787858084753686,1.709259211684317,3.107661792778002,2.6961969906872234,4.826194142860608,2.5138689666433476,4.229417417873033,2.6961969906872234,2.6961969906872234,2.6961969906872234,2.6961969906872234,2.6961969906872234,2.3931181493837204,4.613133812099159,3.923079786699084,3.209245215186805,2.642151655015063,3.92905825298736,4.402033226919483,1.9211923285713541,3.258849821500271,1.709259211684317,1.709259211684317,3.2796066610220644,0.9777447148041173,2.6961969906872234,1.709259211684317,6.120491974486529,3.4473720470964104,3.701374343967452,1.8597265143208204,5.213973205517117,3.7281501840581552,4.7024031368199966,5.134978895100136,4.959326974047129,3.487978874530238,3.9127814012592634,2.6961969906872234,0.9134382311001846,3.216591915672398,0.3209732459335471,2.6961969906872234,2.441467791912599,6.125201944684643,2.6961969906872234,2.6961969906872234,6.236547837669508,4.02560059666056,6.019038994046775,2.6961969906872234,2.6961969906872234,2.6961969906872234,2.6961969906872234,2.677927316900564,2.6961969906872234,0.8409550681949085,3.755630748629131
Siedlicka 02,0.7155495794110497,2.2324298782001897,1.0767077677224817,11.32380866731742,3.1213296444024956,1.5053981703227028,1.5091408304556941,2.9379731478714315,10.9741594479017,2.2324298782001897,3.0903398599057383,1.354328627466114,4.601304039153577,2.2324298782001897,6.422089542738307,2.2324298782001897,0.9535267874525293,5.461107725129257,2.2324298782001897,2.881665759829823,2.9379731478714315,4.461798995230866,2.052679063786437,4.630489525803748,2.9379731478714315,2.9379731478714315,2.9379731478714315,2.9379731478714315,2.9379731478714315,2.737201092614377,5.114112221833981,3.787535282353051,2.667374491056856,2.229287195654598,3.422489213417014,4.790399784889595,2.1170542812488296,3.0267326798560306,2.2324298782001897,2.2324298782001897,2.7605350436777725,1.4420079468296516,2.9379731478714315,2.2324298782001897,5.631718607383481,3.9890565034266805,4.084786968261893,2.267525510138497,4.687758017123975,3.2409458981575594,4.352360066215885,5.464466273944563,4.726578757386144,3.1933147641895334,3.6937107432214766,2.9379731478714315,0.6580424188442475,3.6964495939759074,0.700293129113243,2.9379731478714315,2.903623608968811,6.5914278408436715,2.9379731478714315,2.9379731478714315,5.945642848711248,3.495098700578663,5.506949106289579,2.9379731478714315,2.9379731478714315,2.9379731478714315,2.9379731478714315,2.992293782138605,2.9379731478714315,0.9639000576736148,3.4239309627220846
Oliwa 08,4.895625738514674,3.6598506127453754,4.6079100328533205,6.624442234353715,2.227694641215701,3.975222898930069,3.9208089607894205,2.5767825324433864,6.070623424148726,3.6598506127453754,8.417151194739233,4.155330671326815,0.8242144309081646,3.6598506127453754,1.1475575794879442,3.6598506127453754,4.417414823534725,6.90497114698724,3.6598506127453754,8.05612177244235,2.5767825324433864,6.614597722378328,6.023932208935672,0.8615006129339,2.5767825324433864,2.5767825324433864,2.5767825324433864,2.5767825324433864,2.5767825324433864,2.610908624120606,2.2071839374657083,8.747972959108283,7.450309993947152,5.788842473804434,8.60150241869682,0.6389680443196344,3.369364099114247,8.209296828226542,3.6598506127453754,3.6598506127453754,7.022097860017013,4.028920931717964,2.5767825324433864,3.6598506127453754,8.873192391135605,3.9218842370171054,1.2902834364755904,3.128323548629408,9.675437914834202,6.998955601816598,6.415543363008725,0.46887135365802873,9.889189299747793,8.467089291241875,8.842629326637255,2.5767825324433864,5.893686786365546,2.249444944192685,5.1701153613140765,2.5767825324433864,5.336226198062572,2.070434441071774,2.5767825324433864,2.5767825324433864,6.879170646743189,8.499179804983056,10.588121628019223,2.5767825324433864,2.5767825324433864,2.5767825324433864,2.5767825324433864,2.378686854939521,2.5767825324433864,5.687557003325007,8.737927721679021
Oliwa 07,4.769979660232743,3.533543904557045,4.49140858840475,6.740331703662218,2.1056790369418446,3.8491744994360175,3.795190655926645,2.466668503820521,6.1912209912167935,3.533543904557045,8.292630870334033,4.0292514737053455,0.6993223239307311,3.533543904557045,1.2516929890094408,3.533543904557045,4.293195157674371,6.8522321695717,3.533543904557045,7.929854140178745,2.466668503820521,6.544678114116505,5.918696956896701,0.7411893701108825,2.466668503820521,2.466668503820521,2.466668503820521,2.466668503820521,2.466668503820521,2.488360017856663,2.142718126499044,8.621149616850511,7.339500330115007,5.687495133334829,8.484819495469177,0.5165770079720465,3.254015157426268,8.083042325670885,3.533543904557045,3.533543904557045,6.918025267446765,3.9029978057521495,2.466668503820521,3.533543904557045,8.794110300669793,3.8174981977394333,1.1637425486983064,3.002605850797249,9.563977352966738,6.902681290899692,6.34576782267356,0.536559037247384,9.762617769110141,8.341550738949199,8.716111457788488,2.466668503820521,5.768900969988958,2.1306036403221067,5.044137515022263,2.466668503820521,5.2154901115053125,2.1058972825897673,2.466668503820521,2.466668503820521,6.837798938833813,8.386171062265158,10.47511865565855,2.466668503820521,2.466668503820521,2.466668503820521,2.466668503820521,2.2598480122845768,2.466668503820521,5.561141065874268,8.613020833820816
Oliwa 06,4.758102494555461,3.515993053071346,4.487092163433586,6.764310031364969,2.0978657587703737,3.83664034981312,3.7833871437644477,2.465874952394834,6.213426834962815,3.515993053071346,8.2821640189271,4.016652596665845,0.6798720030884917,3.515993053071346,1.2516563188242174,3.515993053071346,4.283137123957868,6.868214838052783,3.515993053071346,7.9168086077518875,2.465874952394834,6.5567557139045824,5.919717501887248,0.7185694928526719,2.465874952394834,2.465874952394834,2.465874952394834,2.465874952394834,2.465874952394834,2.480033749593203,2.113908109485864,8.605692703588485,7.338029792525064,5.690061785256139,8.480281807149904,0.4950510974233187,3.2504455464123683,8.070024216896456,3.515993053071346,3.515993053071346,6.91948242500364,3.890690131413242,2.465874952394834,3.515993053071346,8.803722418745087,3.790849136835758,1.1503198253559035,2.990685621156293,9.562156935757272,6.907043837313937,6.3578894787769915,0.5652762147081388,9.748773617918578,8.32978419729229,8.702435948308137,2.465874952394834,5.758161380336851,2.107505749318351,5.03170145530479,2.465874952394834,5.193282770572676,2.087573931921899,2.465874952394834,2.465874952394834,6.856029286316365,8.38360972477738,10.472530834138954,2.465874952394834,2.465874952394834,2.465874952394834,2.465874952394834,2.2543293003978184,2.465874952394834,5.547771493630399,8.602097186985329
Sopocka 01,10.608310812115182,9.620516004978615,9.900363029546638,0.686370499991266,7.953709705556844,9.75558823275878,9.672668253394113,7.955237385246077,0.27826086224095425,9.620516004978615,13.929354719955233,9.930938316758185,6.855975759442284,9.620516004978615,5.513901298355035,9.620516004978615,10.061399195434797,9.506992627573277,9.620516004978615,13.744458005556696,7.955237385246077,9.920792331778909,10.734824267222827,6.906504231265913,7.955237385246077,7.955237385246077,7.955237385246077,7.955237385246077,7.955237385246077,8.313798568563984,7.918227340378309,14.560946851098072,12.261464581012833,10.381772543272694,13.627424801205247,6.681038129347266,8.761046271332795,13.89301281311728,9.620516004978615,9.620516004978615,11.580336462057131,9.797421772182703,7.955237385246077,9.620516004978615,12.188864405988108,9.905069199036332,7.240808088606271,8.926010994096956,14.377450610501711,11.244658615641836,9.757051750499512,5.714191267310938,15.59646082325429,14.06648485072051,14.554770997005198,7.955237385246077,11.50592540081479,8.295852311066717,10.900244532768719,7.955237385246077,11.378394179035988,6.601874407776551,7.955237385246077,7.955237385246077,9.055693164990126,13.34405966332432,15.326038321307474,7.955237385246077,7.955237385246077,7.955237385246077,7.955237385246077,8.001115223108796,7.955237385246077,11.447911034191312,14.27379131580056
Stary Rynek Oliwski 02,5.251668646522165,4.131775576866386,4.813351337361712,6.054840712633153,2.5474716896000005,4.351248738808448,4.283358481015479,2.749658970527389,5.541161887262187,4.131775576866386,8.730064549549926,4.530992421828493,1.3776072117185219,4.131775576866386,1.31481679328955,4.131775576866386,4.741234924806022,6.625999563718012,4.131775576866386,8.422972862795286,2.749658970527389,6.433540235725801,6.102259617941097,1.4473454625179474,2.749658970527389,2.749658970527389,2.749658970527389,2.749658970527389,2.749658970527389,2.928756425609049,2.862201663470768,9.16225346027931,7.575050113654572,5.834700932455456,8.788407345485217,1.221710747830609,3.577427409147331,8.575228100167188,4.131775576866386,4.131775576866386,7.084438183403077,4.400111097431183,2.749658970527389,4.131775576866386,8.740135305241923,4.549655343558277,1.7429533976155662,3.5027622735306156,9.800011585805134,6.996123918260096,6.234742280736823,0.2183761877871845,10.268848997964088,8.80676158522456,9.220633134041535,2.749658970527389,6.221259086867711,2.8244228069954973,5.535481667192759,2.749658970527389,5.886384097149073,2.529441134192856,2.749658970527389,2.749658970527389,6.543209168117963,8.643572311823686,10.727313585887147,2.749658970527389,2.749658970527389,2.749658970527389,2.749658970527389,2.6508523032535587,2.749658970527389,6.068715879606741,9.059535602888602
Stary Rynek Oliwski 01,5.119738075551735,3.9841232894285104,4.705728069457541,6.208961953056165,2.4163811103549615,4.215664743112931,4.149605596706844,2.643059945102785,5.691335455629046,3.9841232894285104,8.606530037240601,4.39563362747745,1.221661598188356,3.9841232894285104,1.305243802326286,3.9841232894285104,4.613724170905567,6.628555441669513,3.9841232894285104,8.290882823439684,2.643059945102785,6.410685249278874,6.0204925658773965,1.291403267562246,2.643059945102785,2.643059945102785,2.643059945102785,2.643059945102785,2.643059945102785,2.7991297816612883,2.723351382850803,9.023494401653315,7.485064877678064,5.759377408217177,8.68704890880003,1.0659158993336388,3.4671895507162644,8.443318399661466,3.9841232894285104,3.9841232894285104,7.006760870735078,4.26525444813219,2.643059945102785,3.9841232894285104,8.707085353944311,4.394596964091308,1.5932904110393813,3.3663313662583656,9.711064711685024,6.932237931273779,6.21164383673951,0.06300209732280618,10.135258582874583,8.67896039497549,9.087078449086494,2.643059945102785,6.094308246796807,2.668636979482573,5.402379435758165,2.643059945102785,5.732335145548782,2.4610408309825877,2.643059945102785,2.643059945102785,6.561339513945513,8.550277117296586,10.635774319146032,2.643059945102785,2.643059945102785,2.643059945102785,2.643059945102785,2.527242251565714,2.643059945102785,5.933637805166455,8.93468621846671
Barniewicka 01,11.467377083914874,10.476863776232147,10.752488033381763,0.617282347981903,8.81288785518974,10.615011022314057,10.532097987602823,8.813351983419027,0.8338256337458468,10.476863776232147,14.781842974602965,10.790372146832178,7.7046879536807396,10.476863776232147,6.323310613926694,10.476863776232147,10.920036620275756,10.219535004304275,10.476863776232147,14.601943114699845,8.813351983419027,10.677178642727887,11.562782847392471,7.753067030122906,8.813351983419027,8.813351983419027,8.813351983419027,8.813351983419027,8.813351983419027,9.173201151004779,8.727489156832643,15.420175261406172,13.087337880957795,11.20637165282453,14.459739414607697,7.528170830752319,9.61777283267536,14.750337490680145,10.476863776232147,10.476863776232147,12.39636652888761,10.65685601340366,8.813351983419027,10.476863776232147,12.919668854363433,10.733056327583425,8.094893460457126,9.78519517731974,15.189809521813059,12.045684172080987,10.518049537789263,6.56675740200868,16.45370532703278,14.92157681550602,15.412460305897147,8.813351983419027,12.363104483184651,9.141650987133971,11.759368432567769,8.813351983419027,12.226894014408,7.3643005435241475,8.813351983419027,8.813351983419027,9.743687270219265,14.167858373470082,16.137678542243297,8.813351983419027,8.813351983419027,8.813351983419027,8.813351983419027,8.860545318227048,8.813351983419027,12.307140484427327,15.126769718714819
Jaśkowa Dolina 04,0.41265401997844103,1.3990432086290387,1.014929464010249,10.681638437805363,2.3294841915434277,0.6381840054625154,0.6452046072952312,2.258244234378653,10.291643559381262,1.3990432086290387,3.8779380830840724,0.4960197291398731,3.7726640373412783,1.3990432086290387,5.591537307842362,1.3990432086290387,0.15474287311665874,5.6619120721243945,1.3990432086290387,3.554586618738254,2.258244234378653,4.745175911960615,2.5839003390628923,3.7949025581243747,2.258244234378653,2.258244234378653,2.258244234378653,2.258244234378653,2.258244234378653,1.9461107362463639,4.2499383126066,4.358745025532584,3.4656097785202236,2.6477414991715174,4.288789882094837,3.9639077410563024,1.5033974124139868,3.7059265814499893,1.3990432086290387,1.3990432086290387,3.437090843216725,0.5746935344276675,2.258244234378653,1.3990432086290387,6.197063163379776,3.24303569270518,3.261464732899175,1.4236873433738206,5.541214586553079,3.8176195527077943,4.607430212895819,4.688119939248995,5.4058001563285005,3.9342096074562294,4.358867080396156,2.258244234378653,1.3539460558954843,2.8288651443974455,0.7041623736049014,2.258244234378653,2.5004585193745017,5.7257682738030065,2.258244234378653,2.258244234378653,6.074610357562477,4.344252261093859,6.370617144765081,2.258244234378653,2.258244234378653,2.258244234378653,2.258244234378653,2.2306329012130273,2.258244234378653,1.2543828235052705,4.198345080080301
