name,amenity,leisure,tourism,longitude,latitude
Pracownia 4 Sztuki,arts_centre,,,17.0336682,51.1211084
Kontury Kultury,arts_centre,,,17.0336198,51.1217726
WSS Gniazdko,arts_centre,,,17.0286634,51.1246122
Punkt Design,arts_centre,,,17.0346289,51.1222705
PORT,arts_centre,,,17.0385827,51.1237972
OKAP,arts_centre,,,17.0432151,51.1221834
,,,,16.953184,51.118532
,,,,17.0453958,51.1235358
Teatr Polski – Scena na Świebodzkim,theatre,,,17.0189391,51.108173
,,,,17.0448672,51.1167715
Centrum Kultury Nowy Pafawag,arts_centre,,,16.9580257,51.1157554
Młodzieżowy Dom Kultury Fabryczna,community_centre,,,16.9509885,51.1161465
,,,,17.0491772,51.1153969
,,,,17.0175244,51.0852319
Galeria SiC!,,,gallery,17.0287526,51.1025544
Odrarium,,,attraction,17.0727665,51.1041671
Ścianka wspinaczkowa Fpinka.pl,,sports_centre,,17.0671883,51.1357739
Teatr Arka,theatre,,,17.0326421,51.1061899
An-2,,,attraction,17.1208521,51.1016003
Su-22M4,,,attraction,17.1211325,51.1014118
Wielofunkcyjna hala sportowa,,sports_centre,,17.09861,51.1148218
Wrocław Squash Club,,sports_centre,,17.0673254,51.1358662
,,,,17.026405,51.1128513
,,,,17.1078705,51.1648751
,,,,17.1234461,51.1634111
Pingwin,,,attraction,17.0747821,51.1039969
,,,,16.9974523,51.0900278
,,,,17.0128545,51.0741174
Wrocławski Klub Formaty,community_centre,,,16.9437482,51.097521
,,,,17.0292608,51.1578459
K.S. Lotnik,,sports_centre,,17.1197203,51.1498029
AN-2,,,attraction,17.1232434,51.1461057
TS-11 Iskra,,,attraction,17.1225943,51.1460855
Ranczo koniowatych,,,attraction,17.0735509,51.1045575
MIG-21,,,attraction,17.1226494,51.1458953
MIG-21,,,attraction,17.1227082,51.1458376
MI-2,,,attraction,17.1230917,51.1454825
Firlej,arts_centre,,,17.0144286,51.1022945
,,,,17.0309714,51.0847237
,,,,17.0311236,51.0851663
,,,,17.0719755,51.1251966
,,,,17.086711,51.1045279
Wejście sezonowe,,,,17.0771189,51.1051609
Motylarnia,,,attraction,17.0719121,51.1038424
Foki,,,attraction,17.0741881,51.1061376
Sowy,,,attraction,17.0686729,51.1050214
Hipopotamy,,,attraction,17.0750738,51.104568
Kanał Mozambicki - tunel podwodny,,,attraction,17.0745053,51.1045837
Krokodyle,,,attraction,17.0758897,51.1041974
Manaty afrykańskie,,,attraction,17.0761656,51.1041326
Rekiny,,,attraction,17.0744021,51.1046611
Samogłów,,,attraction,17.0746312,51.1045078
Ptaki ozdobne,,,attraction,17.0702384,51.1077301
Królik domowy,,,attraction,17.0739815,51.1048483
"Dom Kultury ""Bakara""",arts_centre,,,16.9943987,51.0964582
Ptaki brodzące,,,attraction,17.0709955,51.1074367
Cristal Casino,casino,,,17.0297042,51.1120163
,,,,17.0271121,51.1067901
Adrenalina Boxing Club,,sports_centre,,17.0730778,51.1104552
,,,,17.0434662,51.1646719
,,,,16.9961177,51.0973142
,,,,17.0878028,51.1046289
,,,,17.0893313,51.1015651
,,,,17.0457844,51.1170254
