name,amenity,leisure,tourism,longitude,latitude
Świetlica,community_centre,,,14.4733345,53.3508506
,cinema,,,14.5993469,53.3661932
Piwnica przy Krypcie,theatre,,,14.5602791,53.4265359
,,sports_centre,,14.591345,53.356545
,,sports_centre,,14.5914034,53.356498
,,,,14.5912815,53.3567868
,,,,14.5910874,53.35665
,,,,14.5561992,53.4598666
,,,,14.5566802,53.4591932
,,,,14.5538713,53.4605679
,,,,14.5549927,53.4606453
,,,,14.4763351,53.3782157
,,,,14.4758154,53.3779272
Silver Gokart Center,,sports_centre,,14.4987661,53.3899325
,,,,14.5599247,53.4265595
,,,,14.5608347,53.4261316
,,,,14.5601116,53.4263956
,,,,14.5596105,53.4265244
Centrum Seniora,community_centre,,,14.5352501,53.4301031
,,,attraction,14.6237151,53.3726218
,,,attraction,14.6239111,53.3724904
,,,,14.6523781,53.3687789
,,,,14.6516375,53.3683355
,,,,14.6501775,53.3693679
,,,,14.6512726,53.3694912
Klub 12 dywizji zmechanizowanej,community_centre,,,14.530248,53.4398914
,,,,14.5058447,53.4521842
Zespół Obiektów Sportowych Tor Kolarski imienia Zbysława Zająca,,stadium,,14.497493164453328,53.45932960061344
GKS Mierzyn,,stadium,,14.45372317063362,53.42473483995821
,,track,,14.513953790724456,53.47140827854397
Miejski Stadion Lekkoatletyczny im. Wiesława Maniaka,,stadium,,14.505803104379215,53.45305642976555
Hala Sportowa ZUT,,sports_centre,,14.523388763064473,53.42461018179843
,,sports_centre,,14.52195141011792,53.433277175154196
Sala Gimnastyczna Liceum Ogólnokszałcącego nr 6,,sports_centre,,14.528292538386696,53.433942756156476
Pałac Młodzieży – Pomorskie Centrum Edukacji,community_centre,,,14.538139390938346,53.43121955360535
Brama Portowa,,,attraction,14.550411900998537,53.42497241317227
TRAFO Trafostacja Sztuki,arts_centre,,,14.556776067060982,53.42263722937516
Baszta Panieńska,,,attraction,14.562890596470009,53.42631446941142
Pływalnia Politechniki Morskiej,,sports_centre,,14.564278958911093,53.43261825499815
Teatr Polski,theatre,,,14.570569795680052,53.43349420273249
"Teatr Lalek ""Pleciuga""",theatre,,,14.548148789221583,53.43715942533475
Teatr Letni imienia Heleny Majdaniec,theatre,,,14.530739955380847,53.44549169336878
Klub Sportowy Stal Szczecin,,stadium,,14.558439080848126,53.45944719368716
Fabryka Energii,,sports_centre,,14.480732692827171,53.43916760454427
Centrum Kultury Euroregionu Stara Rzeźnia,arts_centre,,,14.573642177425562,53.42710268144568
Fragment muru miejskiego,,,attraction,14.556104917919269,53.422719705975815
,,stadium,,14.471412352781314,53.377964569614335
,,ice_rink,,14.523089799348412,53.48473249965282
,,track,,14.495258610694416,53.45241569043161
,,track,,14.519782462586397,53.423906841975004
,,track,,14.541205816634712,53.41972997515501
,,track,,14.522015729643892,53.406039870647916
,,track,,14.501191329326822,53.411270217112595
,,track,,14.540539467189792,53.466948262813176
Teatr Polski - Scena na Łasztowni,theatre,,,14.56384161351278,53.42077567115048
Tor gokartowy,,sports_centre,,14.505691024841965,53.457829240474794
zegar słoneczno-świetlny,clock,,attraction,14.55623339474165,53.428187143579244
,,track,,14.527756580027242,53.40006417377681
,,stadium,,14.519742130837841,53.425526358159416
