city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price,distance_to_green_spaces_1,score_of_green_spaces_1,distance_to_green_spaces_2,score_of_green_spaces_2,distance_to_green_spaces_3,score_of_green_spaces_3,distance_to_shopping_centers_1,distance_to_shopping_centers_2,distance_to_shopping_centers_3,distance_to_utilities_1,distance_to_utilities_2,distance_to_utilities_3,distance_to_train_stops_1,distance_to_train_stops_2,distance_to_train_stops_3,distance_to_primary_schools_1,distance_to_primary_schools_2,distance_to_primary_schools_3,distance_to_highschools_and_others_1,distance_to_highschools_and_others_2,distance_to_highschools_and_others_3,distance_to_tram_and_bus_stops_1,distance_to_tram_and_bus_stops_2,distance_to_tram_and_bus_stops_3,distance_to_cultural_and_entertainment_1,distance_to_cultural_and_entertainment_2,distance_to_cultural_and_entertainment_3,distance_to_preschools_1,distance_to_preschools_2,distance_to_preschools_3
12,1,63.0,3.0,4.0,10.0,1980.0,53.3789332,14.6252957,6.53,9.0,0.118,1.389,0.628,0.105,1.652,1.14,0.413,0,1,2,1,1,1.0,0,1,415000,26.10571890460381,1059231824.2615968,7.48117714126716,254920470.92680863,6.797796221222533,169820194.64706966,0.5613356241007272,0.6573673380105501,0.6795115442603591,0.4922225685103655,0.8750502223217004,0.8806554967235651,0.7700745552235014,3.2981983646832296,3.3688450237673875,0.1131251794503317,0.8558342209482531,1.933572072077896,0.2686473436655039,0.3838127919269332,0.3908712972379586,0.1371709514613346,0.2292534111831076,0.255980540368925,0.4647127240542665,0.5562164498946736,0.6203171663490185,0.1016324943865359,0.3540486404585587,0.3900635624416731
12,1,36.0,2.0,8.0,10.0,1990.0,53.4426918989896,14.5596899116512,2.15,16.0,0.273,0.492,0.652,0.291,0.348,1.404,0.205,1,1,2,0,1,1.0,0,1,395995,22.96236228646381,1059231824.2615968,19.535896507439865,504094177.4571648,15.79788571069343,254920470.92680863,0.1201810447985078,0.1831699884989932,0.2039434021609155,0.3570030171807842,0.4198970283252889,0.4700280886270179,0.7388144473388727,1.0112454617951545,2.0615771104344507,0.2810569486831107,0.3563200107258474,0.552814137445959,0.2878610686213086,0.3097831533852376,0.3927371325920019,0.1604865021096582,0.2094138170659399,0.2139588428719859,0.2568916539074268,0.2629853340074471,0.319783106615747,0.3023451573966287,0.4580510736586411,0.4657822510320415
12,2,73.02,3.0,2.0,3.0,1990.0,53.45222222,14.55333333,3.24,9.0,0.275,0.672,0.367,0.246,0.3,1.857,0.28,0,0,2,0,0,0.0,0,0,565000,22.5458378374132,1059231824.2615968,18.402999818432136,504094177.4571648,16.921414073975654,254920470.92680863,0.1747521481037049,0.1969928735569861,0.2635093731101519,0.24492634960185,0.2987417226027403,0.6073475122787788,0.4160560676796115,1.1279931947189603,1.4250276603200651,0.2741341698275554,0.7735760934309633,0.8016616759950151,0.8848436729887004,1.1833047332948528,1.2898404654986082,0.21509277525774,0.22917404467639,0.2346209088442167,0.0591154748233878,0.3363444102373602,0.428035105721005,0.2461438555348164,0.3967844735173102,0.5996183969244433
12,2,87.6,3.0,2.0,3.0,1990.0,53.4351,14.5329,2.27,32.0,0.175,0.259,0.223,0.359,0.101,0.31,0.087,0,0,2,1,1,0.0,0,1,640000,24.828732666802026,1059231824.2615968,19.54705346276901,504094177.4571648,16.135787347252702,254920470.92680863,0.0570352269237043,0.2090650862830647,0.2097428837852774,0.7131944361014304,0.9268413469220608,0.9465547388732152,0.6970004164884269,0.7263715436838523,1.4438375825637082,0.1753402908301501,0.4435192754967747,0.4499094963156519,0.1964745610016824,0.2603620078406356,0.2927952392656816,0.1188173703196481,0.1475185366928501,0.1518870089701494,0.0618877980347504,0.1721905403941584,0.2541114809644097,0.3587109645267003,0.4759285675940574,0.5515989540503432
12,1,66.0,3.0,1.0,3.0,1990.0,53.41027778,14.50361111,4.07,1.0,0.218,1.69,0.504,0.704,0.501,2.138,0.514,0,2,2,0,0,0.0,0,0,759000,28.138804536824,1059231824.2615968,21.554524529888425,504094177.4571648,15.544051203430229,254920470.92680863,0.3583480785813249,0.4367982451459807,0.5083042407905598,0.9433556327541928,1.1722592814746815,1.486540600586508,1.4215522218342869,1.7952253359163337,2.04129033238304,0.2087603875783103,1.1876971834737038,1.324646118446828,0.8499116778984697,1.102360508688687,1.1511322126057482,0.0434565147658824,0.0457418925686414,0.2993370539489121,0.1934988199408575,0.8652735856273089,1.0132777258466323,0.6934726464964496,0.7441486824888583,1.4128581131590543
12,1,63.3,3.0,2.0,4.0,1997.0,53.4631,14.5728,4.48,10.0,0.079,1.224,0.737,0.26,1.102,0.377,0.745,1,1,2,1,1,0.0,0,1,499000,20.778926560520723,1059231824.2615968,18.032479905365538,504094177.4571648,17.37596274748946,254920470.92680863,0.1740755230640632,0.3194135570849032,0.3826661535309252,0.2580581423233585,0.4772483608167244,0.8510723531333926,1.5223175645171905,2.028141324995954,2.319675291159967,0.0600253693584804,0.3576127705589248,0.8804273642682792,0.327123359749299,0.335095172434275,0.3418171018364805,0.1886764449571836,0.2014606820208115,0.2037424155737017,0.2600379142680189,0.4403570793680556,0.4976174453134994,0.2654879957986397,1.2777319844312414,1.5149509373531818
12,1,47.45,2.0,2.0,10.0,1974.0,53.4502325,14.5626247,2.99,18.0,0.327,0.378,0.234,0.262,0.244,1.736,0.277,0,1,0,0,0,1.0,0,1,370000,22.24153412657706,1059231824.2615968,18.89513615355277,504094177.4571648,16.418922270614317,254920470.92680863,0.2607230745798092,0.2793584611268291,0.3640967579381756,0.2427153166922821,0.2452309475779269,0.2581245843841411,0.4787149143951098,0.5784942354490746,2.0363829297279223,0.3232590869315347,0.4758902940506934,0.5818324607172479,0.4348747449000764,1.0646893477186816,1.096320170016124,0.0450058079058333,0.2011533879356711,0.2650094756992421,0.2364070860363882,0.2468294400656336,0.4287708822776738,0.2587689991623185,0.2643325530546336,0.3394632499189424
12,0,60.08,2.0,3.0,4.0,2009.0,53.45468473,14.55152035,3.53,8.0,0.572,0.784,0.305,0.435,0.257,1.945,0.155,0,0,1,0,1,1.0,0,0,629000,22.45486494193137,1059231824.2615968,18.10505003324477,504094177.4571648,17.2178845353127,254920470.92680863,0.0404651100750987,0.0478207340874062,0.1142390069880696,0.0726622193511507,0.4344823652045046,0.7740276598613729,0.7097082156709038,1.336690995271065,1.3603789890830904,0.5720621257077381,0.8562960946891017,0.9730986635816968,1.0064657266228196,1.1785135229376895,1.403050766936261,0.1211087238138992,0.1643150745560466,0.1663646652445499,0.2769410863357193,0.5310505837873494,0.610991720442124,0.4238708231678267,0.4406994429493389,0.6321396975495859
12,1,47.76,2.0,8.0,12.0,1980.0,53.45886904,14.53640342,4.27,6.0,0.345,0.52,0.336,0.5,0.265,1.879,0.42,0,1,2,0,1,1.0,0,1,399000,22.92659772255567,1059231824.2615968,17.231498424062256,504094177.4571648,18.14313499250027,254920470.92680863,0.107136523037496,0.1262604314896062,0.156702420141199,1.1205630832183218,1.193680009995629,1.2020301774164244,0.919034708525452,1.6541728752609188,1.6968914476688797,0.3415932568292527,0.5112486016167838,0.6035192500659905,0.5943605865059008,0.6473031789378436,0.6866137795154597,0.317901566153129,0.3189643800778658,0.3238041793644347,0.4028978627668574,0.4789174100549572,0.6102535020959602,0.499864556456237,0.7380754303428894,0.9448078235709344
12,2,72.09,4.0,2.0,3.0,1890.0,53.4350923,14.5596122,1.3,22.0,0.232,0.292,0.356,0.301,0.199,0.653,0.199,0,0,0,1,0,0.0,0,1,325000,23.56510401404274,1059231824.2615968,20.283650755779878,504094177.4571648,15.089430720925986,254920470.92680863,0.2746006263958155,0.2812075842144558,0.3258677862604264,0.670704886220428,0.7561563905795328,0.8019990664962348,1.5342147161479465,1.7403227953377245,1.87536632291684,0.2455921868594706,0.5486702026722744,0.6948501230583222,0.5588189561236822,0.5684174561460651,0.6046527077246748,0.0612269356617517,0.1053643295477865,0.1071733208292608,0.2457865081760987,0.2479809034200145,0.2613472317111842,0.3013988134039867,0.3189646466396048,0.4911619216394192
