name,shop,amenity,longitude,latitude
Żabka,convenience,,23.1151883,53.1492767
Chorten,convenience,,23.1141356,53.1456285
Chorten,convenience,,23.122754,53.1510974
abc,convenience,,23.1219568,53.1510029
Lewiatan,convenience,,23.1984442,53.1331267
Top Market,convenience,,23.1905173,53.1335024
Konkurencja - Piwa Regionalne,convenience,,23.1089215,53.1480201
Lewiatan,convenience,,23.1392417,53.1316863
Spożywczy,convenience,,23.1268149,53.1516004
Spożywczy,convenience,,23.1190917,53.1423742
Groszek,convenience,,23.1823587,53.1348428
Podlaska Chata,convenience,,23.0839857,53.1505383
Żabka,convenience,,23.0846042,53.1526189
Swojak,convenience,,23.1244429,53.1456171
,,,23.1705033,53.1258092
,,,23.1706433,53.1259738
,,,23.1703909,53.1262639
,,,23.1676347,53.1252457
,,,23.1677106,53.1253539
,,,23.1692668,53.1259723
,,,23.1693021,53.1259888
,,,23.1787269,53.1224675
Żabka,convenience,,23.1782113,53.1304411
Top Market,convenience,,23.1822249,53.1378328
,convenience,,23.1756799,53.1373007
Auchan,supermarket,,23.0976259,53.1612225
Auchan,supermarket,,23.1179346,53.1358482
Chorten,convenience,,23.1086449,53.1473616
,convenience,,23.2381925,53.1902915
Żabka,convenience,,23.1063458,53.1448344
Żabka,convenience,,23.1541859,53.1282969
Chorten,convenience,,23.1016675,53.1404191
,,,23.1933651,53.1350665
,,,23.1865087,53.1302984
Biedronka,supermarket,,23.1524025,53.1368458
,,,23.1702941,53.1263413
Lewiatan,convenience,,23.1533487,53.1547878
,,,23.1563276,53.1496046
Chorten,convenience,,23.0861158,53.1492116
Społem,supermarket,,23.1472252,53.1354781
Żabka,convenience,,23.1648805,53.1362467
,convenience,,23.1686256,53.137478
Delikatesy u Chłopców,convenience,,23.1733601,53.1406286
Chorten,convenience,,23.1776746,53.143958
Żabka,convenience,,23.1733336,53.1337768
,,parking_entrance,23.1629176,53.1368068
,convenience,,23.1929142,53.1932423
,,,23.1914155,53.1105609
Żabka,convenience,,23.1577188,53.1336535
Stokrotka,supermarket,,23.1622266,53.1367689
,,,23.1631312,53.1360145
Perfect Body,convenience,,23.1628409,53.1366269
Vinci,convenience,,23.162512,53.1364224
Chorten,convenience,,23.1702342,53.1333121
,,,23.1631697,53.1360381
,,,23.1311329,53.1556925
Społem,convenience,,23.1239172,53.1447462
Żabka,convenience,,23.1659441,53.1384847
Carrefour,supermarket,,23.1854764,53.1625733
Stokrotka,supermarket,,23.1510278,53.1243742
,convenience,,23.1250858,53.154903
Żabka,convenience,,23.1848853,53.1365719
magazyn Media Markt,,,23.1776132,53.1233357
Lewiatan,convenience,,23.1885458,53.1444031
Top Market,convenience,,23.169705,53.1328794
Chorten,convenience,,23.1727193,53.1275063
Społem,convenience,,23.1530387,53.1220531
Społem,convenience,,23.1329529,53.1418706
Żabka,convenience,,23.1335408,53.1406832
Groszek,convenience,,23.0821833,53.15305
Lewiatan,convenience,,23.0823013,53.1501643
,,,23.1191972,53.1345209
,,,23.1322875,53.154115
Chorten,convenience,,23.1721833,53.1250186
Groszek,convenience,,23.1725828,53.1252036
Chorten,convenience,,23.1477475,53.1315214
Skorpion,supermarket,,23.1410132,53.1167114
Stokrotka,supermarket,,23.1964611,53.1313105
Biedronka,supermarket,,23.150326,53.125594
Chorten,convenience,,23.0973001,53.1285146
Chorten,convenience,,23.2177724,53.1180866
Żabka,convenience,,23.1981084,53.1311145
Lewiatan,convenience,,23.1013982,53.1451974
Żabka,convenience,,23.1520181,53.1333269
Żabka,convenience,,23.1487376,53.1341194
Żabka,convenience,,23.1162217,53.1432307
,,,23.0974136,53.1240973
Żabka,convenience,,23.1712841,53.1260643
,,marketplace,23.1013889,53.1324218
Chorten,convenience,,23.1997327,53.1606541
Żabka,convenience,,23.1694794,53.121516
Żabka,convenience,,23.1436222,53.1276485
,,,23.2125773,53.1434036
Lewiatan,supermarket,,23.0857511,53.1308574
Chorten,convenience,,23.0848435,53.1307627
Stokrotka,convenience,,23.1406899,53.1116013
,convenience,,23.0733339,53.1574555
Żabka,convenience,,23.1137101,53.1450094
Żabka,convenience,,23.1757278,53.1397775
Żabka,convenience,,23.155153,53.151186
Żabka,convenience,,23.1248513,53.1353176
Żabka,convenience,,23.1520562,53.1247142
Lewiatan,convenience,,23.1612251,53.1329786
Żabka,convenience,,23.1561907,53.1335094
Lewiatan,convenience,,23.1476394,53.1340412
Chorten,convenience,,23.1694787,53.1370766
Żabka,convenience,,23.1768022,53.1274699
,,,23.2166123,53.1234413
Chorten,convenience,,23.1511876,53.1485959
Żabka,convenience,,23.1599821,53.1391671
,,,23.1856076,53.1252949
,,,23.1852762,53.1257406
,,,23.174058,53.133953
,,,23.1737113,53.1338776
,,,23.1689424,53.1414353
Lewiatan,convenience,,23.1560907,53.1422791
Żabka,convenience,,23.1745586,53.1369032
Biedronka,supermarket,,23.1647078,53.1375642
,,,23.1174649,53.1362471
,,,23.1186371,53.1355679
Żabka,convenience,,23.1348225,53.1321084
Żabka,convenience,,23.155258,53.1293177
,,,23.1585922,53.1454336
,,,23.100181,53.1406376
Lewiatan,supermarket,,23.0771342,53.1669466
Trójka,convenience,,23.1737699,53.1369142
,,,23.1874614,53.1346112
Żabka,convenience,,23.1860778,53.1491436
Chorten,convenience,,23.1580904,53.1275022
Społem,supermarket,,23.1424042,53.1174938
Chorten,convenience,,23.0942152,53.1182925
,,,23.0998041,53.1243976
,,,23.1680536,53.1255308
,,,23.1679052,53.1254639
Arhelan,supermarket,,23.0760999,53.1186792
Lewiatan,convenience,,23.2277682,53.1408674
Żabka,convenience,,23.2273721,53.1408999
Żabka,convenience,,23.1464533,53.1219864
Chorten,convenience,,23.1543422,53.1435593
Żabka,convenience,,23.2195433,53.1266237
,,,23.1629959,53.1367572
Regionalne Przysmaki u Andzi,convenience,,23.2272684,53.1409096
Żabka,convenience,,23.140897,53.1094459
Biedronka,supermarket,,23.1954992,53.1554826
Arhelan,convenience,,23.1330345,53.0977618
Chorten,convenience,,23.1451142,53.1220483
GLOBI,convenience,,23.1518035,53.1368042
Żabka,convenience,,23.1979078,53.1184669
Żabka,convenience,,23.1279359,53.1148218
,,loading_dock,23.1305106,53.1562586
,,,23.1223899,53.1541236
Chorten,convenience,,23.1241658,53.1512092
,,,23.1303892,53.1561126
,,,23.130658,53.15594
,,loading_dock,23.1219712,53.1543575
Żabka,convenience,,23.1243826,53.1084716
Lewiatan,convenience,,23.1320979,53.0989899
Arhelan,convenience,,23.1273185,53.1132823
Żabka,convenience,,23.1250849,53.1518463
Żabka,convenience,,23.110539,53.1427187
Lewiatan,convenience,,23.1472294,53.1347056
Żabka,convenience,,23.179823,53.1217683
Żabka,convenience,,23.1646846,53.1320861
Żabka,convenience,,23.181111,53.1348396
Żabka,convenience,,23.1253347,53.1131465
Żabka,convenience,,23.1999502,53.1552479
Wierzbowa Park,mall,,23.1311134,53.1438081
Kaufland,supermarket,,23.131271,53.1440113
Chorten,convenience,,23.1615178,53.1259511
Chorten,convenience,,23.1412441,53.122171
Żabka,convenience,,23.1491187,53.1327635
,,,23.0766537,53.1488118
,,,23.0756073,53.1485148
Żabka,convenience,,23.18153,53.1281011
Żabka,convenience,,23.1974946,53.127847
Gama Mini,convenience,,23.1081718,53.143305
Stokrotka Market,supermarket,,23.1911789,53.1278731
Chorten,convenience,,23.0643739,53.1817767
Żabka,convenience,,23.139495,53.1335785
Żabka,convenience,,23.1483974,53.1287376
Żabka,convenience,,23.1433913,53.1306216
Żabka,convenience,,23.1445443,53.1225813
Arhelan,supermarket,,23.081354,53.0694974
Żabka,convenience,,23.1503729,53.1256845
,,parking_entrance,23.099652,53.124545
Lewiatan,convenience,,23.1319032,53.1231429
Żabka,convenience,,23.1322748,53.1232955
Alkohole Wrzos,convenience,,23.1059123,53.1327938
Żabka,convenience,,23.1697083,53.1374976
,,,23.1774787,53.1217612
Żabka,convenience,,23.1352516,53.1339856
ALDI,supermarket,,23.1811073,53.1402271
Chorten,convenience,,23.125491,53.1361738
Żabka,convenience,,23.215615,53.1227463
Groszek,convenience,,23.1811496,53.1432515
Żabka,convenience,,23.1579141,53.1286288
Żabka,convenience,,23.1669666,53.1372079
Carrefour Express,convenience,,23.1354685,53.1352049
Żabka,convenience,,23.1612709,53.1378399
Lewiatan,convenience,,23.1210882,53.1540696
Żabka,convenience,,23.1337991,53.1444362
Lewiatan,convenience,,23.1542034,53.1214939
Żabka,convenience,,23.1548073,53.1204639
,,,23.2123632,53.1432966
Społem,supermarket,,23.0911524,53.1494394
Żabka,convenience,,23.1038561,53.1425466
,,,23.1345809,53.1311969
Żabka,convenience,,23.161115,53.1334216
,,,23.1493659,53.1394241
TOP Market,convenience,,23.0885365,53.1518615
Żabka,convenience,,23.2137111,53.1686084
Żabka,convenience,,23.1418203,53.1144247
Żabka,convenience,,23.0988088,53.1277339
Żabka,convenience,,23.1275672,53.1341817
Społem,supermarket,,23.0896144,53.1224549
Żabka,convenience,,23.1322597,53.1117773
,,,23.1633752,53.1365164
Top Market,convenience,,23.1339138,53.1408739
Żabka,convenience,,23.2199245,53.1424912
Lewiatan Express,convenience,,23.1732813,53.1405774
Park Handlowy Starosielce,convenience,,23.0743987,53.1296463
,,,23.1180276,53.1359082
,,,23.1186808,53.1355196
Żabka,convenience,,23.1223637,53.1104337
Żabka,convenience,,23.1472771,53.1136666
Chorten,convenience,,23.1533371,53.1246295
Społem,supermarket,,23.1596331,53.1272764
Żabka,convenience,,23.2308467,53.1405802
Żabka,convenience,,23.1332316,53.1353484
,,,23.1682987,53.1256333
Żabka,convenience,,23.1799122,53.1405405
,,,23.1397005,53.1213345
Chorten,convenience,,23.1580516,53.1346546
Żabka,convenience,,23.1568869,53.1312461
Łukaszówka. Sklep Firmowy Nr 1,convenience,,23.1556553,53.1340349
,,,23.1985893,53.1439643
Żabka,convenience,,23.2187346,53.1484167
Lewiatan,convenience,,23.2208737,53.1424009
Chorten,convenience,,23.1291511,53.1544072
Dealz,supermarket,,23.087718,53.1332798
Prim Market,convenience,,23.0961834,53.1206643
Żabka,convenience,,23.178785,53.1283818
Żabka,convenience,,23.1408665,53.1402606
Żabka,convenience,,23.1318226,53.1449699
Żabka,convenience,,23.1310501,53.1437044
Żabka,convenience,,23.0781909,53.1265923
Żabka,convenience,,23.0734505,53.1297527
Żabka,convenience,,23.0909393,53.1299231
Żabka,convenience,,23.0972386,53.1280214
Żabka,convenience,,23.1217187,53.098266
Żabka,convenience,,23.1396856,53.1139485
Żabka,convenience,,23.14148,53.1197546
Żabka,convenience,,23.1750452,53.1186018
Żabka,convenience,,23.1941111,53.1156404
Żabka,convenience,,23.1987178,53.1184391
Żabka,convenience,,23.206155,53.133403
Żabka,convenience,,23.2044322,53.1502538
Żabka,convenience,,23.2215839,53.1699286
Żabka,convenience,,23.1866251,53.1817457
Żabka,convenience,,23.1990744,53.1961822
Żabka,convenience,,23.1760037,53.1476742
Żabka,convenience,,23.1715279,53.139433
Żabka,convenience,,23.1727061,53.1407096
Żabka,convenience,,23.1900682,53.131009
Żabka,convenience,,23.1726036,53.1241016
Żabka,convenience,,23.1455912,53.1274583
Żabka,convenience,,23.1383866,53.1315762
Żabka,convenience,,23.1438262,53.1334338
Żabka,convenience,,23.1561336,53.1399471
Żabka,convenience,,23.1473708,53.1370391
Żabka,convenience,,23.1503818,53.1459438
Żabka,convenience,,23.1316257,53.1367753
Żabka,convenience,,23.1109845,53.1493333
Top Market,convenience,,23.1650459,53.1356306
,,,23.1545734,53.1284842
Całodobuś,convenience,,23.1256226,53.1502743
Biedronka,supermarket,,23.1677737,53.1244503
Społem,supermarket,,23.1102629,53.1314269
TOP Market,convenience,,23.1427908,53.1205456
,,,23.1846264,53.1622081
,,,23.1857695,53.1621602
,,,23.1379167,53.1029285
,,,23.0725072,53.1677546
,,,23.1212822,53.1117141
Żabka,convenience,,23.1628924,53.137325
Odido,convenience,,23.1911935,53.1350845
Chorten,convenience,,23.2174194,53.1234985
Chorten,convenience,,23.1932791,53.1547318
Chorten,convenience,,23.14359,53.1198196
Chorten,convenience,,23.1630458,53.1406586
Chorten,convenience,,23.1016385,53.1274335
Chorten,convenience,,23.095814,53.1212263
Chorten,convenience,,23.1055959,53.1263724
Chorten,convenience,,23.1433376,53.1221159
Chorten,convenience,,23.1612196,53.1378992
Chorten,convenience,,23.0819539,53.1493931
Chorten,convenience,,23.1240131,53.1078304
Chorten,convenience,,23.1559828,53.1512261
Chorten,convenience,,23.2389037,53.1902644
Lewiatan,convenience,,23.1582099,53.1343143
Lewiatan,convenience,,23.1240397,53.1090214
Lewiatan,convenience,,23.099727,53.1207505
Lewiatan,convenience,,23.0921309,53.131109
Lewiatan,convenience,,23.0996749,53.1307689
Lewiatan,convenience,,23.1273806,53.1335913
Lewiatan,convenience,,23.1248728,53.1380897
Lewiatan,convenience,,23.1150515,53.1517161
Lewiatan,convenience,,23.1161495,53.1540556
Auchan Hetmańska,mall,,23.117743110758976,53.13521733383588
Galeria Zielone Wzgórze,mall,,23.098638672318696,53.1238707096685
Stokrotka,supermarket,,23.11632451166648,53.10650117633277
Biedronka,supermarket,,23.116938453770278,53.10524276230593
Arhelan,supermarket,,23.169196349790493,53.14158406532752
Atrium Biała,mall,,23.177731081530514,53.12291785641628
Lewiatan,convenience,,23.10106602959363,53.12758316568475
Lewiatan,convenience,,23.14159053816825,53.14238036309237
Lidl,supermarket,,23.18516229727083,53.12544824531198
Lewiatan,convenience,,23.200380040656498,53.12124125574816
Biedronka,supermarket,,23.241984806930926,53.126184082407484
Lewiatan,convenience,,23.21738402468391,53.16753944881131
Netto,supermarket,,23.1829360005712,53.14537164575456
Biedronka,supermarket,,23.193312149928374,53.13485579989174
Społem,supermarket,,23.18758347931374,53.134339207887784
Społem,supermarket,,23.21231911941693,53.14350375032952
Stokrotka,supermarket,,23.20822744134654,53.14787115350629
Chorten,convenience,,23.209887966338982,53.09613535747897
Społem,supermarket,,23.1793987,53.1436626
Biedronka,supermarket,,23.090095991908072,53.1147184863802
Top Market,supermarket,,23.185926846022088,53.12943291110907
Biedronka,supermarket,,23.186431842720204,53.13012766972088
,mall,,23.130897701558972,53.136142977349714
abc,convenience,,23.131353937481357,53.108677161852604
Lewiatan,supermarket,,23.168119650853228,53.122569210314786
Bazar Pałacowy,mall,,23.17033100391172,53.13338656298087
Biedronka,supermarket,,23.143094547090207,53.129743798245244
Rzemieślnik,mall,,23.142452924684047,53.133110846902014
DH Wenus,mall,,23.140769852313284,53.134301383057085
Sienny Rynek,mall,,23.15273173057418,53.12847461535305
Społem,supermarket,,23.1407355190097,53.1297386353759
Galeria M,mall,,23.156756198512625,53.149991678319665
Biedronka,supermarket,,23.153675062288382,53.14610056939954
Lewiatan,supermarket,,23.1491908618626,53.14265645806894
Lewiatan,supermarket,,23.15065903833684,53.148037179572974
Stokrotka,supermarket,,23.126029843341897,53.151894000425855
,mall,,23.106339523667035,53.143600066542234
Alfa Centrum,mall,,23.168821660433792,53.125283429047165
Centrum Handlowe Ryska,mall,,23.175762108753332,53.14109518053237
Auchan Produkcyjna,mall,,23.09847066632547,53.1614373853297
Chorten,convenience,,23.121374741854652,53.13569136327324
Lidl,supermarket,,23.13085470667068,53.15598831921298
Lewiatan,supermarket,,23.0775428,53.12829875
Podlaskie Centrum Rolno-Towarowe S.A.,,marketplace,23.165272385538387,53.15508544504297
Stokrotka,supermarket,,23.170791764844704,53.14101962435837
Lewiatan,convenience,,23.147202099999998,53.1383921
Chorten,convenience,,23.07893516692372,53.069305674351156
Biedronka,supermarket,,23.12165005026592,53.11173992616421
Lidl,supermarket,,23.10402450344159,53.125359864477254
Galeria Madro,mall,,23.134370856013692,53.13593039017469
Chorten,convenience,,23.127765237964557,53.140195542004825
Lewiatan,convenience,,23.118286211235198,53.10820540811917
Biedronka,supermarket,,23.082206466090422,53.1283873355194
Centrum Handlowe Fasty,mall,,23.076239104148687,53.15962960612359
Społem,supermarket,,23.1221214502831,53.15420214956517
Społem,supermarket,,23.174012320285318,53.13377059533233
Chorten,convenience,,23.126927787731557,53.107824620486284
,convenience,,23.180693121192615,53.14619994313451
Lewiatan,convenience,,23.212117063024387,53.169507870931724
Społem,convenience,,23.200018714306992,53.11794287331815
Arhelan,supermarket,,23.125147097455375,53.10570851947754
Chorten,supermarket,,23.142858458009954,53.1147708138352
"""Fasty"" Rynek Hurtowy Rolno-Spożywczy",,marketplace,23.068411783396893,53.161061766483
Bazar na Kawaleryjskiej,,marketplace,23.14441955304818,53.104113061835335
Stokrotka,supermarket,,23.210637878574317,53.1180933802845
Biedronka,supermarket,,23.21662071742977,53.12370404554914
Park Handlowy Wysockiego - Budynek B,mall,,23.183809558342837,53.162182241424986
Park Handlowy Wysockiego - Budynek A,mall,,23.185300238507594,53.16248085611544
Chorten,convenience,,23.17637732229207,53.11534146607614
Chorten,convenience,,23.208545662104317,53.093245373132646
Delikatesy Centrum,supermarket,,23.132020023609133,53.154114909783
U Wojtka,convenience,,23.242956794359305,53.12535605102508
Chorten,convenience,,23.22861171393458,53.124156091684526
Chorten,convenience,,23.116840300187377,53.08808248103906
Biedronka,supermarket,,23.109940410560036,53.14064445487318
Lidl,supermarket,,23.13252728585506,53.11346891503013
Orlen,convenience,fuel,23.19950962047537,53.12154676359189
Biedronka,supermarket,,23.10954996344214,53.08744081058566
Centrum Handlowe Hetman,,marketplace,23.14391507822408,53.105349887436496
Społem,supermarket,,23.185402522110653,53.15501925052285
ABC,convenience,,23.1395122570884,53.103605695256924
Żabka,convenience,,23.18215059800429,53.14551934697264
,convenience,,23.19960291778896,53.196116341424656
