name,amenity,leisure,tourism,longitude,latitude
Kosakowski Klub Seniora,community_centre,,,18.4999159,54.5938553
Teatr Gdynia Główna,theatre,,,18.5302455,54.5212524
Aleja Statków Pasażerskich Odwiedzających Gdynię,,,attraction,18.5593541,54.5189827
Kibice Razem Arka Gdynia,community_centre,,,18.5314394,54.4965516
Dom Kultury SM Janowo,arts_centre,,,18.4169612,54.5656592
Konsulat Kultury,arts_centre,,,18.5383392,54.5231974
Cybermachina,,amusement_arcade,,18.5434285,54.5189187
Aikido Ikeda Dojo Gdynia,dojo,sports_centre,,18.4881867,54.4721411
Przystań Lipowa 15,community_centre,,,18.4861129,54.4681959
Przystań Opata Hackiego 33,community_centre,,,18.4805056,54.538048
Dom Kaszubski,arts_centre,,,18.4586225,54.5913412
Kręgielnia Aquapark Sopot,,sports_centre,,18.5573492,54.4596873
Strzelnica MoST,,sports_centre,,18.4450804,54.456183
Triblok,,sports_centre,,18.5416854,54.5078324
Skatepark pod Estakadą,,,attraction,18.4895601,54.5337267
Bukszpryt,nightclub,,,18.5126442,54.5261601
ART 39,,,gallery,18.5566201,54.4794606
Galeria Debiut,,,gallery,18.5636883,54.4813849
Jumpcity,,trampoline_park,,18.5383126,54.5247103
"Centrum Sąsiedzkie ""Przystań Łowicka 51""",community_centre,,,18.5258608,54.4848247
,,,,18.5252454,54.515769
,,,,18.4432152,54.5463182
,,,,18.4442974,54.5476537
,,,,18.443529,54.5468466
,,,,18.4435673,54.5469049
,,,,18.4455576,54.5470696
,,,,18.5618855,54.4522136
,,,,18.5610108,54.4489362
,,,,18.5611276,54.4486699
,,,,18.5614237,54.4522368
Przystań Chabrowa 43,community_centre,,,18.4460966,54.5336937
Disco Shot's,nightclub,,,18.4030013,54.5664858
,,,,18.5022026,54.531248
,,,,18.5023418,54.5314237
,,,,18.5018118,54.5307546
,,,,18.5013135,54.5308151
Airspace,,amusement_arcade,,18.5383452,54.5249574
Bodega,nightclub,,,18.4248977,54.550076
Scena Kameralna,,,,18.546126,54.5163357
Teatr Muzyczny im. Danuty Baduszkowej,theatre,,,18.545513947925894,54.51659855588741
Stadion KPW Gdynia,,stadium,,18.548078849987437,54.54162770299858
Teatr Miejski w Gdyni im. Witolda Gombrowicza,theatre,,,18.539514438873695,54.51061380796071
Bazylika Kolegiacka (Morska) Najświętszej Maryi Panny Królowej Polski,place_of_worship,,attraction,18.54244036024838,54.517779255238146
Dom Jana Radtkego,,,attraction,18.542187718022973,54.51955860384035
Sala gimnastyczna Zespołu Szkół nr 6,,sports_centre,,18.536010003534166,54.48251385295439
Polsat Plus Arena Gdynia,,stadium,,18.5312487197672,54.498913767707045
,,track,,18.539804793552673,54.503101171446154
Miejskie Hale Targowe w Gdyni,marketplace,,attraction,18.53377087742906,54.52257001253049
Pływalnia,,sports_centre,,18.458752208816062,54.544661649317796
,,stadium,,18.553136375558992,54.55571567707047
Kaktusiarnia,,,attraction,18.402006402632665,54.58633262645132
Przystań Chylońska 237,community_centre,,,18.444469358963676,54.54669738323062
,,track,,18.482905070956384,54.53490455590308
,,track,,18.4594844493189,54.544572939234996
Gminny Dom Kultury,arts_centre,,,18.50002512366807,54.59383414482524
,,sports_centre,,18.4546786730511,54.50186410226121
Stajnia i Wozownia,,,,18.555970786935138,54.473155013145515
Scena Letnia Teatru Miejskiego w Gdyni imienia Witolda Gombrowicza,theatre,bleachers,,18.562363700000002,54.4756912
,,track,,18.551030113903924,54.499420017582416
Narodowy Stadion Rugby,,stadium,,18.531164925907248,54.49752764862941
"Centrum Sąsiedzkie ""Przystań Śmidowicza 49""",community_centre,,,18.536287882479385,54.542895869101216
,,sports_centre,,18.51132475,54.49052685
,,sports_centre,,18.546748868716133,54.50697732199128
Pomnik Tajnego Hufca Harcerzy,,,attraction,18.542061514928903,54.516100734677934
Zespół Sportowy Marynarki Wojennej,,sports_centre,,18.542776605712767,54.540816251727215
,,track,,18.47524565,54.53948915
Lodowisko - Rolkowisko Suchy Dwór,,ice_rink,,18.473210114623292,54.57353407282494
,,sports_centre,,18.50158332835514,54.53123405747845
,,track,,18.561749123682254,54.457225728128854
Bursztynowe kule,,,attraction,18.501792286032625,54.45730738848363
,,track,,18.543772782131512,54.50963011772784
Schron dalmierza,,,attraction,18.529893043677898,54.590585448944225
Ruiny schronu dalmierza,,,attraction,18.550576575094183,54.46871109966477
Ruiny strażnicy granicznej,,,attraction,18.51968135892005,54.46399843391817
,,track,,18.480679144349374,54.566756592777224
Świetlica Sołecka w Suchym Dworze,community_centre,,,18.470815752014868,54.5760808627276
Teatr leśny,theatre,,,18.4177621463688,54.519471922525454
Stadion Miejski w Gdyni,,stadium,,18.53113228013343,54.4931197007155
Centrum Strzeleckie Tarcza Gdynia,,sports_centre,,18.486184216854582,54.460429175108345
Strzelnica Playground,,sports_centre,,18.536065856118704,54.46613739500566
,,track,,18.417870281745945,54.56317437237644
,,track,,18.41789856314113,54.563154867560755
Klub Tenisowy Arka Gdynia,,sports_centre,,18.553695500755783,54.504131791232346
,,track,,18.56067097485527,54.45989949833082
,,track,,18.563015288674205,54.454562481291994
,,track,,18.56287991667837,54.454674084712956
Centrum Sportowe u Jezuitów,,sports_centre,,18.525179319785675,54.515641035411434
Centrum Sportu Uniwersytetu Morskiego,,sports_centre,,18.509201572434193,54.52555625948563
Altana burmistrza Johannesa Kollatha,shelter,,attraction,18.56064947310358,54.46365596910424
,,sports_centre,,18.56370782802392,54.449720470918265
,,sports_centre,,18.561273621168883,54.45019079673665
,,sports_centre,,18.561750500001835,54.449288824379586
,,sports_centre,,18.561570081255624,54.45267693599153
,,track,,18.511160150000002,54.558552299999995
Przystań Widna 2A,community_centre,,,18.509181020356582,54.49848788879919
Batyskaf Nautilus,,,attraction,18.558446975693034,54.51830846349599
Hala sportowa Zespołu Szkół Hotelarsko-Gastronomicznych,,sports_centre,,18.516787957354172,54.524366287859316
,,track,,18.515507300000003,54.55358744999999
Baza Sport Suchy Dwór,,sports_centre,,18.473135867455856,54.57440628269623
,,track,,18.501398364823043,54.553496849873014
ORP Sokół,,,attraction,18.54856794275749,54.51548861230734
Teatr Muzyczny im. Danuty Baduszkowej,theatre,,,18.545520177147086,54.51659092021534
Stadion KPW Gdynia,,stadium,,18.548104656897436,54.541620956176
Teatr Miejski w Gdyni im. Witolda Gombrowicza,theatre,,,18.539514876259055,54.51061689858104
Bazylika Kolegiacka (Morska) Najświętszej Maryi Panny Królowej Polski,place_of_worship,,attraction,18.542455183432526,54.51777814110814
Dom Jana Radtkego,,,attraction,18.542189342489138,54.51955950595006
Sala gimnastyczna Zespołu Szkół nr 6,,sports_centre,,18.536010018580107,54.482513860038324
Polsat Plus Arena Gdynia,,stadium,,18.531290116399443,54.498922117296864
Miejskie Hale Targowe w Gdyni,marketplace,,attraction,18.53378613543817,54.52257204485157
Pływalnia,,sports_centre,,18.4587949592431,54.54469024575436
,,stadium,,18.55314076420358,54.55571599262548
Kaktusiarnia,,,attraction,18.402006416986723,54.58633263232288
Przystań Chylońska 237,community_centre,,,18.44446651003166,54.54670435340518
,,track,,18.482904988391446,54.534904578976125
Gminny Dom Kultury,arts_centre,,,18.50001571913623,54.59383190373796
,,sports_centre,,18.45467865356737,54.50186411733873
Stajnia i Wozownia,,,,18.555967924450787,54.47315186398319
Molo w Orłowie,,,attraction,18.565576059309244,54.47993328789728
