name,leisure,landuse,natural,longitude,latitude
,,,,18.5447029,54.4571791
,,,,18.5279733,54.4772868
,,,,18.4721709,54.5391063
,,,,18.5612594,54.4618115
,,,,18.5617243,54.4704818
,,,,18.5616505,54.4730585
,,,,18.5602046,54.4725485
,,,,18.555706,54.4669018
,,,,18.5550616,54.4651968
,,,,18.5665931,54.4897186
,,,,18.5595085,54.5011282
,,,,18.558615,54.4741259
,,,,18.5562071,54.4689595
,,,,18.5567882,54.4683094
,,,,18.5557669,54.4535996
,,,,18.5561637,54.4553089
,,,,18.5563982,54.4547636
,,,,18.5601719,54.4535838
,,,,18.560231,54.4529223
,,,,18.5604601,54.4525185
,,,,18.5581777,54.4500878
,,,,18.436435,54.4983757
,,,,18.5599637,54.3946478
,,,,18.4050782,54.5672995
,,,,18.4055388,54.5676575
,,,,18.4052685,54.5677006
,,,,18.4472151,54.5719228
,,,,18.5191311,54.5197704
,,,,18.5562603,54.4897849
,,,,18.5305503,54.4351277
,,,,18.4547766,54.5452595
,,,,18.455107,54.5453562
,,,,18.4550802,54.5454764
,,,,18.4150955,54.5197567
,,,,18.5227934,54.5162632
,,,tree,18.5474563,54.51719
,,,,18.4930163,54.5884955
,,,,18.53455,54.5434121
,,,,18.5164768,54.4823275
,,,,18.5177756,54.4826315
,,,,18.5192486,54.4829157
,,,,18.5074052,54.5549142
,,,,18.5414131,54.4826567
,,,,18.5129335,54.5065552
,,,,18.5127059,54.5069976
,,,,18.5126966,54.4924581
,,,,18.2680619,54.5984467
,,,,18.4164297,54.5178618
,,,,18.4177557,54.5204161
,,,,18.4892269,54.5650172
,,,,18.50032,54.59396
,,,,18.5317539,54.4781572
,,,,18.5576326,54.4892868
,,,,18.5441147,54.5151774
,,,,18.5276211,54.5120914
,,,,18.4922011,54.4982052
,,,,18.4982223,54.4992643
,,,,18.5017967,54.4790065
,,,,18.5472646,54.4026666
,,,,18.5386544,54.4925072
,,,tree,18.5385749,54.4979159
,,,,18.5402606,54.4977117
,,,tree,18.5388706,54.4977119
,,,,18.5407018,54.4977355
,,,tree,18.538604,54.4984857
,,,,18.5599062,54.4045831
,,,,18.5413369,54.4979436
,,,,18.5396322,54.4984068
,,,,18.4551328,54.5445668
,,,,18.5396309,54.4976058
,,,,18.5393855,54.4977066
,,,,18.5403587,54.4985388
,,,,18.5171805,54.4680577
,,,,18.5542164,54.462905
,,,,18.5574994,54.489328
,,,,18.5462411,54.450957
,,,,18.5140529,54.4828349
,,,,18.4939885,54.5628612
,,,,18.5445001,54.4748531
,,,,18.5597142,54.453587
,,,,18.5586645,54.4798789
,,,,18.5389058,54.480545
,,,,18.5381905,54.4813811
,,,,18.5486285,54.4508583
,,,,18.4920866,54.5593569
,,,,18.5548931,54.4305688
,,,,18.5389317,54.4805177
,,,,18.5474347,54.4062057
,,,,18.4418455,54.5816013
,,,,18.4144575,54.5911244
,,,,18.454557,54.4528494
,,,,18.4591394,54.4537467
,garden,,,18.5471652,54.507651
Ogród sensoryczny,garden,,,18.5469762,54.5077679
,,,,18.4155295,54.5192157
,,,,18.559234,54.4519111
,,,,18.5602529,54.4524716
,,,,18.5273868,54.4183735
,,,,18.5373541,54.4198617
,,,,18.5491324,54.4517847
,,,,18.4382242,54.5453671
,,,,18.5347354,54.5490908
,,grass,,18.5476718,54.4875738
,,,,18.4783919,54.4709033
,,,,18.4308411,54.450563
,,,,18.4403347,54.4477198
,,,,18.5613741,54.401867
,,,,18.5557342,54.4021618
,,,,18.5500874,54.4483065
,,,,18.5407664,54.4323078
,,,,18.5227398,54.470444
,,,,18.5230203,54.4702096
,,,,18.5574005,54.4575175
,,,,18.4490252,54.4600911
,,,,18.5237134,54.5138914
,,,,18.4918875,54.5271354
,,,,18.5219959,54.5175923
,,,,18.4363071,54.5759569
,,,,18.5333643,54.5115361
,,,,18.5242406,54.5193813
,,,spring,18.4707683,54.5378646
,,,,18.5598321,54.4533163
,,,,18.5251462,54.5162348
,,,,18.5401264,54.4526066
,,,,18.5181229,54.4677014
,,,,18.5202669,54.4642535
,,,,18.5195987,54.4648073
,,,,18.5333846,54.5127399
,,,,18.5332216,54.5132494
,,,,18.5330592,54.5137633
,,,,18.5328868,54.5142424
,,,,18.5402207,54.491175
,,,,18.5457107,54.4743481
,,,,18.5464255,54.4742341
