name,leisure,landuse,natural,longitude,latitude
,,,,23.55802,53.26743
,,,,23.1428403,53.1348439
,,,,23.1664346,53.1293923
,,,,23.0842113,53.1710452
,,,,23.1086334,53.1331639
,,,,23.1955102,53.1306873
,,,,23.1653303,53.1287574
,,,,23.1664949,53.1292948
,,,,23.2330016,53.1990954
,,,,23.2009653,53.1293175
,,,,23.1452791,53.1513617
,,,,23.1403641,53.1542089
Herakles walczący z Ladonem,,,,23.1661054,53.1310185
Herakles porywający Cerbera,,,,23.166033,53.1310762
,,,,23.141084,53.1546983
,,,,23.1622347,53.1292594
,,,,23.1625284,53.1311122
,,,,23.1997232,53.1309044
,,,,23.194114,53.1325646
,,,,23.2050062,53.1397895
,,,,23.2264996,53.1434857
,,,,23.0870978,53.1378996
,,,,23.1891596,53.1321277
,,,,23.1992707,53.1302768
,,,,23.2332433,53.0591764
,,,,23.1953748,53.13073
,,,,23.1968638,53.1307357
,,,,23.1970987,53.1306787
,,,,23.1959912,53.1309288
,,,,23.1962788,53.1312125
,,,,23.197353,53.1311791
,,,,23.1975428,53.1309619
,,,,23.1975114,53.1308105
,,,,23.1974649,53.1306661
,,,,23.1982402,53.1307639
,,,,23.1984764,53.1307435
,,,,23.197163,53.1310773
,,,,23.1973099,53.1308828
,,,,23.1962071,53.1309194
,,,,23.1995868,53.1303608
,,,,23.199634,53.130554
,,,,23.1986209,53.1310811
,,,,23.1077759,53.1408777
,,,,23.1075847,53.1406532
,,,,23.0717102,53.1512923
,,,,23.1125079,53.1312137
,,,,23.2042824,53.1323409
,,,,23.1649648,53.1699644
,,,,23.1655921,53.1288777
,,,,23.1465403,53.1525839
,,,,23.1675129,53.1208632
Szlak esperanto i wielu kultur – Synagoga Piaskower,,,,23.1537947,53.1289215
BTD!,,,,23.1227521,53.1069284
,,,,23.1983608,53.1802726
,,,,23.150253,53.1855201
,,,,23.1210437,53.1858602
,,,,23.128514,53.1827743
,,,,23.1824612,53.1610449
,,,,23.125537,53.1611834
,,,,23.1476312,53.1666453
,,,,23.1909616,53.1281805
,,,,23.1652455,53.1275573
,,,,23.085358,53.1242787
,,,,23.0857611,53.123736
,,,,23.0841101,53.1261545
,,,,23.2201321,53.1264851
,,,,23.1509023,53.1841822
,,,,23.1375148,53.0978504
,,,,23.1631005,53.1287686
,,,,23.169675,53.068498
,,,,23.162475,53.0633965
,,,,23.133674,53.1098578
,,,,23.1565242,53.1358503
,,,,23.1628906,53.1288836
,,,,23.2046312,53.1398246
,,,,23.2003321,53.1294135
,,,,23.1349311,53.1595389
Słominiak,,forest,,23.06901834102587,53.122921381890535
Park Lubomirskich,park,,,23.20486305064381,53.110360222253796
Las Komunalny,,forest,,23.223834834533722,53.10510014025281
,,forest,,23.222304064738417,53.10155688662484
,,forest,,23.11645670785964,53.10520839786862
,,meadow,,23.100272382308358,53.09811557913557
,,forest,,23.108201028269157,53.10770659473395
,,forest,,23.10810642662633,53.109618773830675
Plac Niepodległości im. Romana Dmowskiego,,grass,,23.146307109217243,53.13490915212848
,,meadow,,23.084776560787994,53.08882674151424
,,meadow,,23.084649333909184,53.09425836597975
Las Komunalny,,forest,,23.15306264902419,53.11415408881461
,,forest,,23.151832802398555,53.10807337499514
Las Zwierzyniecki,,,wood,23.161350091792507,53.11226039918221
,,forest,,23.137501849067586,53.10104437791595
