name,shop,amenity,latitude,longitude
Biedronka,supermarket,,52.4049929,16.9324593
Żabka,convenience,,52.404184,16.9304531
Delikatesy Mróz,convenience,,52.4029206,16.929895
Żabka,convenience,,52.4006174,16.9282482
Żabka,convenience,,52.405812,16.9316952
Lidl,supermarket,,52.4063689,16.9280062
Żabka,convenience,,52.4077799,16.9251532
Netto,supermarket,,52.4140335,16.9129098
Lewiatan,supermarket,,52.3902827,16.8947986
Biedronka,supermarket,,52.4078812,16.9018974
Żabka,convenience,,52.4113965,16.9045926
Żabka,convenience,,52.3949494,16.9194296
Chata Polska,supermarket,,52.4297776,16.9414726
Społem,convenience,,52.4324661,16.9397201
Żabka,convenience,,52.368608,16.8457844
Biedronka,supermarket,,52.3671087,16.8406715
Żabka,convenience,,52.3898392,16.9801798
Żabka,convenience,,52.4166624,16.9078422
Żabka,convenience,,52.411659,16.9412058
Żabka,convenience,,52.3885106,16.877426
Chata Polska,convenience,,52.4247366,16.908571
Żabka,convenience,,52.3838069,16.9179809
Delikatesy Jacuś,convenience,,52.408459,16.9417395
Biedronka,supermarket,,52.4005781,16.8926453
Żabka,convenience,,52.403876,16.8934042
Fawor,convenience,,52.4327708,16.9245517
Żabka,convenience,,52.3843778,16.9140689
Żabka,convenience,,52.3773121,16.9090777
Żabka,convenience,,52.4264491,16.9316493
Żabka,convenience,,52.4018413,16.9085254
Żabka,convenience,,52.3967166,16.9211396
Żabka,convenience,,52.4095599,16.8873579
Sandra,convenience,,52.4057266,16.9385426
Żabka,convenience,,52.4074225,16.9324054
Żabka,convenience,,52.4612486,16.8981425
Żabka,convenience,,52.4092218,16.9328915
Pełny Koszyk,convenience,,52.4240808,16.9134726
Spiżarnia Sołacka,convenience,,52.4242194,16.9134125
,convenience,,52.3905552,16.9822567
Stokrotka,supermarket,,52.4387043,16.9398642
EMKA,convenience,,52.4322396,16.9372263
Lidl,supermarket,,52.4151615,16.9345328
Żabka,convenience,,52.4040585,16.8723635
Stokrotka,supermarket,,52.43851,16.9228913
Żabka,convenience,,52.4022163,16.8762216
Żabka,convenience,,52.4029167,16.8718273
Stokrotka,supermarket,,52.3883622,16.9499199
Żabka,convenience,,52.4161882,16.8826705
Żabka,convenience,,52.3657985,16.8554017
Jeżyk,convenience,,52.3983519,16.9463984
Żabka,convenience,,52.3882345,16.8566587
Netto,supermarket,,52.3936662,16.8973326
Biedronka,supermarket,,52.4152077,16.9061213
Żabka,convenience,,52.3903683,16.9458312
Pan Warzywniak,supermarket,,52.3788698,16.9175427
Żabka,convenience,,52.4073003,16.9359218
Chata Polska,supermarket,,52.4072809,16.9376979
,convenience,,52.3901564,16.9458195
Tipo,convenience,,52.3905098,16.9599537
Żabka,convenience,,52.4050519,16.9320347
Żabka,convenience,,52.4049792,16.9372889
Żabka,convenience,,52.477487,16.7846967
Biedronka,supermarket,,52.4780905,16.7820722
Żabka,convenience,,52.399484,16.9338121
Żabka,convenience,,52.4101633,16.9342607
Sklep Spożywczy S. Czajkowska,convenience,,52.4114752,16.9317864
Aldi,supermarket,,52.4047153,16.9307679
Odido,convenience,,52.4295315,16.9257374
Żabka,convenience,,52.4111249,16.9264432
Żabka,convenience,,52.4097283,16.9249359
Lewiatan,convenience,,52.4092122,16.9241577
eMKa,convenience,,52.4011073,16.9366575
Żabka,convenience,,52.4065686,16.9383942
Żabka,convenience,,52.4145178,16.8950041
Lewiatan,convenience,,52.3994247,16.9510035
Żabka,convenience,,52.4188907,16.8726916
Żabka,convenience,,52.4310279,16.9354986
Odido,convenience,,52.4677842,16.9385508
Żabka,convenience,,52.4360739,16.9280057
Żabka,convenience,,52.4595762,16.9222591
"Groszek ""ZGODA""",convenience,,52.4626266,16.9045112
Chata Polska,supermarket,,52.4622746,16.9122017
,convenience,,52.4103711,16.9368888
Żabka,convenience,,52.4664475,16.9380064
Żabka,convenience,,52.3865733,16.8556947
,convenience,,52.3751595,16.9639252
Żabka,convenience,,52.4053125,16.8989305
Żabka,convenience,,52.4093568,16.9024913
Żabka,convenience,,52.4135582,16.9050238
Żabka,convenience,,52.4060117,16.887941
Biedronka,supermarket,,52.3970073,16.9025057
Żabka,convenience,,52.3956492,16.9835248
Żabka,convenience,,52.4499602,16.913188
Żabka,convenience,,52.4446813,16.8811171
Żabka,convenience,,52.3594209,16.8805189
Chata Polska,supermarket,,52.430349,16.9092845
Żabka,convenience,,52.4291577,16.9274697
Eko Społem,convenience,,52.428892,16.9270202
Delikatesy Staś,convenience,,52.431258,16.934684
warzywniak,supermarket,,52.4069718,16.8866832
Netto,supermarket,,52.4309842,16.9296226
Żabka,convenience,,52.4238797,16.9120809
Delikatesy Centrum,convenience,,52.3863643,16.8442725
Żabka,convenience,,52.399974,16.8926814
Żabka,convenience,,52.3999853,16.9042158
Żabka,convenience,,52.3996566,16.9049409
Żabka,convenience,,52.3938568,16.8980849
Żabka,convenience,,52.4218378,16.9091071
Żabka,convenience,,52.4075324,16.9380788
Żabka,convenience,,52.4125121,16.9386698
Żabka,convenience,,52.3940668,16.898929
Żabka,convenience,,52.4140433,16.9090427
Żabka,convenience,,52.4387334,16.9217505
Biedronka,supermarket,,52.4027054,16.9126051
Biedronka,supermarket,,52.3628781,16.9012103
Żabka,convenience,,52.3940659,16.8601827
Chata Polska,convenience,,52.4097419,16.8241625
Żabka,convenience,,52.456958,16.8957825
Żabka,convenience,,52.3818333,16.8803917
Żabka,convenience,,52.4044254,16.9221904
Żabka,convenience,,52.4056035,16.9246305
Delikatesy Centrum,convenience,,52.4463496,16.8741531
Żabka,convenience,,52.3987735,16.9627591
Lewiatan Express,convenience,,52.3975314,16.9625067
Żabka,convenience,,52.3967123,16.9633707
Ukrainoczka,convenience,,52.3971537,16.949272
Żabka,convenience,,52.3973748,16.9494053
Żabka,convenience,,52.3974402,16.9251699
Biedronka,supermarket,,52.4003606,16.928061
Biedronka,supermarket,,52.3925292,16.9168391
Żabka,convenience,,52.4392081,16.9315805
Żabka,convenience,,52.3900555,16.8950288
Żabka,convenience,,52.3939726,16.895363
Społem Jagienka,convenience,,52.3907098,16.9528949
abc,convenience,,52.457608,16.8780594
Żabka,convenience,,52.3416687,16.9184679
Żabka,convenience,,52.412805,16.9027358
Żabka,convenience,,52.4049582,16.8622463
Biedronka,supermarket,,52.3792799,16.9835521
Żabka,convenience,,52.3952372,16.9788427
Vita Natura,convenience,,52.407813,16.9090709
Żabka,convenience,,52.4093469,16.9081841
Żabka,convenience,,52.4114215,16.9112883
Ekoland,convenience,,52.4088103,16.9098743
Żabka,convenience,,52.4122295,16.9036046
Żabka,convenience,,52.3978441,16.8961728
Sklep u braci,convenience,,52.3915952,16.8387675
Żabka,convenience,,52.3983533,16.8986777
Biedronka,supermarket,,52.4301011,16.9205862
Delikatesy Anet,convenience,,52.4126035,16.9382905
Żabka,convenience,,52.4099662,16.8235583
Fawor,convenience,,52.4491375,16.9215198
EuroChata,convenience,,52.4480705,16.9232629
Sklep Spożywczo-Monopolowy,convenience,,52.4477447,16.926658
Żabka,convenience,,52.4355533,16.8086592
Groszek,supermarket,,52.3967977,16.899092
Żabka,convenience,,52.3972616,16.901852
Żabka,convenience,,52.405508,16.900496
Sklep ogólnospożywczy,convenience,,52.4022202,16.9309244
Żabka,convenience,,52.402912,16.9311282
abc,convenience,,52.4056715,16.9272706
Azjatycki Market,convenience,,52.4060835,16.9262008
Żabka,convenience,,52.3962959,16.9014004
Żabka,convenience,,52.4069321,16.9203265
Tad-Market,supermarket,,52.3908199,16.975061
ABMI,convenience,,52.4063037,17.0143371
1 minute,convenience,,52.4019326,16.9113722
Żabka,convenience,,52.4021239,16.9114635
U Oli,convenience,,52.4482823,16.9255116
Żabka,convenience,,52.3961872,16.8624693
Społem,convenience,,52.3700024,16.9006475
Społem,convenience,,52.3601486,16.8857313
Żabka,convenience,,52.4130358,16.9627396
Żabka,convenience,,52.4028726,16.9128087
Żabka,convenience,,52.4016825,16.919561
Żabka,convenience,,52.4131664,16.922553
Żabka,convenience,,52.3918705,16.8992521
Żabka,convenience,,52.387492,16.9121151
Żabka,convenience,,52.3990288,16.896424
Żabka,convenience,,52.4172174,16.8819506
Żabka,convenience,,52.3930173,16.9029063
Delikatesy Centrum,convenience,,52.4101804,16.9793896
Żabka,convenience,,52.3974798,16.9044774
Żabka,convenience,,52.397822,16.903093
Żabka,convenience,,52.3947989,16.8967023
