name,shop,amenity,latitude,longitude
Lewiatan,convenience,,53.1422791,23.1560907
Żabka,convenience,,53.1369032,23.1745586
Biedronka,supermarket,,53.1375642,23.1647078
Żabka,convenience,,53.1321084,23.1348225
Żabka,convenience,,53.1293177,23.155258
Lewiatan,supermarket,,53.1669702,23.0772317
Trójka,convenience,,53.1369142,23.1737699
Żabka,convenience,,53.1491436,23.1860778
Chorten,convenience,,53.1275022,23.1580904
"PSS Społem ""Pogodny""",supermarket,,53.1174938,23.1424042
Chorten,convenience,,53.1182925,23.0942152
Lewiatan,convenience,,53.1408674,23.2277682
Żabka,convenience,,53.1408999,23.2273721
Żabka,convenience,,53.1219864,23.1464533
Żabka,convenience,,53.1266237,23.2195433
Regionalne Przysmaki u Andzi,convenience,,53.1409096,23.2272684
Żabka,convenience,,53.1094459,23.140897
Biedronka,supermarket,,53.1554826,23.1954992
Arhelan,convenience,,53.0977618,23.1330345
Chorten,convenience,,53.1220483,23.1451142
GLOBI,convenience,,53.1368042,23.1518035
Żabka,convenience,,53.1184669,23.1979078
Żabka,convenience,,53.1148218,23.1279359
Żabka,convenience,,53.1084716,23.1243826
TOP MARKET,convenience,,53.0989899,23.1320979
Arhelan,convenience,,53.1132823,23.1273185
Żabka,convenience,,53.1518463,23.1250849
Żabka,convenience,,53.1427187,23.110539
Lewiatan,convenience,,53.1347056,23.1472294
Żabka,convenience,,53.1217683,23.179823
Żabka,convenience,,53.1320861,23.1646846
Żabka,convenience,,53.1348396,23.181111
Żabka,convenience,,53.1131465,23.1253347
Żabka,convenience,,53.1552479,23.1999502
Wierzbowa Park,mall,,53.1438081,23.1311134
Kaufland,supermarket,,53.1440113,23.131271
Chorten,convenience,,53.1259511,23.1615178
Chorten,convenience,,53.122171,23.1412441
Żabka,convenience,,53.1327635,23.1491187
Żabka,convenience,,53.1281011,23.18153
Żabka,convenience,,53.127847,23.1974946
Gama Mini,convenience,,53.143305,23.1081718
Stokrotka Market,supermarket,,53.1278731,23.1911789
Żabka,convenience,,53.1335785,23.139495
Żabka,convenience,,53.1287376,23.1483974
Żabka,convenience,,53.1306216,23.1433913
Żabka,convenience,,53.1225813,23.1445443
Żabka,convenience,,53.1256845,23.1503729
Lewiatan,convenience,,53.1231429,23.1319032
Żabka,convenience,,53.1232955,23.1322748
Alkohole Wrzos,convenience,,53.1327938,23.1059123
Żabka,convenience,,53.1374976,23.1697083
Żabka,convenience,,53.1339856,23.1352516
ALDI,supermarket,,53.1402271,23.1811073
Maxim,convenience,,53.1361738,23.125491
Żabka,convenience,,53.1227463,23.215615
Groszek,convenience,,53.1432515,23.1811496
Żabka,convenience,,53.1286288,23.1579141
Żabka,convenience,,53.1372079,23.1669666
Carrefour Express,convenience,,53.1352049,23.1354685
Żabka,convenience,,53.1379888,23.1611401
Żabka,convenience,,53.1444362,23.1337991
Lewiatan,convenience,,53.1214939,23.1542034
Żabka,convenience,,53.1204639,23.1548073
"PSS Społem ""KEN""",supermarket,,53.1494394,23.0911524
Żabka,convenience,,53.1425466,23.1038561
Żabka,convenience,,53.1334216,23.161115
TOP Market,convenience,,53.1518615,23.0885365
Żabka,convenience,,53.1686084,23.2137111
Żabka,convenience,,53.1144247,23.1418203
Żabka,convenience,,53.1277339,23.0988088
Żabka,convenience,,53.1341817,23.1275672
