name,amenity,leisure,tourism,latitude,longitude
Podwórko Sezam,nightclub,,,51.4005331,21.1547697
Samolot,,,artwork,51.3959851,21.2070842
Samolot,,,artwork,51.3960095,21.2068251
Samoloty,,,artwork,51.3968181,21.2061151
"""Zatruta studnia z chimerą"" Jacka Malczewskiego",,,artwork,51.4078243,21.1527684
"""Kobieta z faunem"" Jacka Malczewskiego",,,artwork,51.4130473,21.1550585
"mjr Henryk Dobrzański ""HUBAL""",,,artwork,51.3884252,21.1525061
Anioł Wolności,,,artwork,51.3549946,21.0925353
Radom Powstańcom Górnośląskim,,,artwork,51.4132444,21.1828047
Oratorium św. Filipa Neri,arts_centre,,,51.4043785,21.1732289
Galeria św. Filipa Neri,,,gallery,51.4046314,21.1733345
Radomskie Centrum Sportu - Hala Widowiskowo-Sportowa,,sports_centre,,51.4090375,21.1714112
Fotoplastykon,,,attraction,51.3999034,21.1574695
Park Trampolin JumpWorld,,trampoline_park,,51.3817003,21.1744083
Hala Sportowa Start,,sports_centre,,51.4093613,21.1385444
Rower Szosowo-Wyścigowy Łucznik,,,artwork,51.3973749,21.1471527
Chłopski Król,,,artwork,51.4200952,21.1601426
Land Raster II,,,artwork,51.4202858,21.1597424
Młodzież Radomska Młodzieży Lwowskiej,,,artwork,51.4143099,21.1806165
Świetlica „Pod Dobrym Aniołem”,arts_centre,,,51.4313164,21.1626675
Aparat telefoniczny Malwa,,,artwork,51.3959359,21.1534713
,,,artwork,51.3955295,21.1422103
Nosorożec,,,artwork,51.393615,21.1476592
,,,artwork,51.3936594,21.1473838
Farba Radowil Gr-tix Rafil,,,artwork,51.3940123,21.1483922
Pelikan,,,artwork,51.3996959,21.1698148
Mural Jan Paweł II,,,artwork,51.4095804,21.1579356
Katolickie Stowarzyszenie Centrum Młodzieżowe Arka,community_centre,,,51.4096482,21.1579929
Arlekin,,,artwork,51.4078119,21.1679412
Sztafeta,,,artwork,51.4081322,21.1658117
Matka Świata,,,artwork,51.4072372,21.1640819
Świetlica Kocur,community_centre,,,51.3837953,21.1077391
,,,artwork,51.3863249,21.1556762
,,,artwork,51.3848266,21.1538981
Świetlica Sputnik,community_centre,,,51.3842833,21.1538397
Świetlica Kubuś,community_centre,,,51.3795361,21.1652322
"Płytki podłogowe - ""Marywil""",,,artwork,51.3986472,21.1524228
Farba Rafil Gr-tix,,,artwork,51.3982148,21.1577215
Stolik z Giętówki z ciastiem Radomianka,,,artwork,51.4004411,21.1586544
Kuchnia gazowa 333,,,artwork,51.402221,21.1591449
Pogorzelisko,,,attraction,51.3631659,21.0833474
"""Zatruta studnia I"" Jacka Malczewskiego",,,artwork,51.40259,21.1598128
"""Pytia"" Jacka Malczewskiego",,,artwork,51.4084018,21.1520974
Minimurale Radomian,,,attraction,51.4040568,21.1504995
Papierosy Zakładu Przemysłu Tytoniowego w Radomiu,,,artwork,51.3956152,21.1360122
Kamienica Deskurów,arts_centre,,,51.4025774,21.143578
Poradnia psychologiczno-pedagogiczna nr 2,community_centre,,,51.3917935,21.1328593
Razem z Ukrainą,,,artwork,51.3953328,21.1648418
"Domek dla jeRZyka, mural dla oka",,,artwork,51.4117444,21.1571534
Waterbox,,,attraction,51.4025671,21.155429
Trzy Głazy Narzutowe,,,attraction,51.3941308,21.2018226
,,,artwork,51.392297,21.1649912
Dom Kreatywny,community_centre,,,51.4053399,21.1606203
,,,viewpoint,51.4021415,21.0749168
EloPark - kryty skatepark Radom,,sports_centre,,51.381733,21.1748229
Endorfina Platinium - Gym&Fitness,,fitness_centre,,51.3812274,21.1746403
Punkt Widokowy na pas startowy lotniska,,,viewpoint,51.3840231,21.2078032
Dom Kultury Idalin,community_centre,,,51.377893,21.1821831
,,,artwork,51.3983622,21.1499708
,,,artwork,51.3972903,21.15646
S Wojciech,,,artwork,51.4007833,21.1531922
S. Stanisław,,,artwork,51.4007484,21.1534376
,,,artwork,51.3928194,21.1712842
,,,artwork,51.3961669,21.1975427
Oprawa oświetleniowa stołowa Polam-Radom,,,artwork,51.3967296,21.1351022
Kłódka ZM Łucznik,,,artwork,51.4078467,21.1407472
Waga niemowlęca Radwag,,,artwork,51.3977302,21.1474741
Budynek dawnej Fabryki Mebli i Radoskóru,,,attraction,51.3898684,21.161701
Spinacze do prania,,,artwork,51.3977392,21.1348097
Helios,cinema,,,51.39051837990266,21.152004861213495
,,sports_centre,,51.39899851238086,21.151145718562073
Kościół pw. Świętego Stanisława Biskupa Męczennika,place_of_worship,,attraction,51.40065905869253,21.15326434572643
Stadion Lekkoatletyczno-Piłkarski im. Marszałka Józefa Piłsudskiego,,stadium,,51.3964828567055,21.1463318133062
Aga Sport,,sports_centre,,51.38967789815011,21.139805401276995
Grodzisko Piotrówka,,,attraction,51.399957999341,21.133226410736253
Wieża ciśnień na Glinicach 1927,,,attraction,51.38762426248511,21.17358503582087
Miejski Ośrodek Kultury im. Lotników Polskich,community_centre,common,,51.38503317873282,21.180059365781283
"Dom Podworskich ""Narodówka""",,,attraction,51.40123718234464,21.15461723323261
Budynek Izby Skarbowej,,,attraction,51.40117886518911,21.155199019046158
Nowy Ratusz,townhall,,attraction,51.403350545595295,21.143139105219355
Hufiec ZHP Radom-Miasto,community_centre,,,51.403607623673466,21.143112724826118
Dom Glogierów,,,attraction,51.39776391984022,21.1550779296209
Kolegium Pijarów,,,museum,51.402462087039076,21.14207513726502
