name,railway,latitude,longitude
Częstochowa Gnaszyn,station,50.7915853,19.0291879
Częstochowa Stradom,station,50.7973211,19.1069996
Częstochowa Raków,halt,50.7876286,19.1554329
Częstochowa Aniołów,halt,50.8352835,19.1516348
Częstochowa,station,50.8084279,19.1209688
