name,power,man_made,latitude,longitude
,,wastewater_plant,53.4143812,14.563545
Pompownia ścieków P2K,,wastewater_plant,53.4170851,14.5485661
,substation,street_cabinet,53.4278243,14.5695752
,substation,,53.5036162,14.6033467
,substation,,53.5005513,14.5862278
,substation,,53.4801763,14.4602896
,substation,,53.4871029,14.4607151
,substation,,53.4949305,14.4803361
,substation,,53.4906797,14.4809517
,substation,,53.3866541,14.6282537
,substation,,53.4924445,14.5806611
,substation,,53.4238035,14.5608397
,substation,,53.4250255,14.5574239
,substation,,53.4248029,14.5366005
,substation,,53.3959975,14.5261408
,substation,,53.395281,14.5279084
Stacja Elektroenergetyczna 110/15kV GPZ Dąbie,substation,,53.37135166277188,14.675448633269102
Stacja elektroenergetyczna „Turzyn” 110kV,substation,,53.42463796000744,14.527977447508505
Oczyszczalnia Ścieków „Pomorzany”,,wastewater_plant,53.40188670360614,14.54221291555654
"Stacja elektroenergetyczna ""Niemierzyn"" 110/15kV",substation,,53.45114096636961,14.523709232020682
Stacja elektroenergetyczna 110/15kV „Pomorzany”,substation,,53.39003948924573,14.523059489057687
Stacja Elektroenergetyczna 110/15kV Pogodno,substation,,53.453957926286314,14.504191475677652
Stacja elektroenergetyczna „Białowieska” 110/15kV,substation,,53.40592774422735,14.51582977570222
Stacja elektroenergetyczna „Żydowce” 110kV,substation,,53.354005160616985,14.576001769212114
"Stacja elektroenergetyczna ""Glinki"" 220/110 kV",substation,,53.499911318090184,14.58113427412837
"Stacja elektroenergetyczna ""Łączna"" 110kV",substation,,53.47258800117967,14.550836612556953
,substation,,53.43959686180103,14.493128026558294
,substation,,53.43947752512418,14.49555106307071
,substation,,53.440670004833294,14.491766074904787
,substation,,53.44072912951625,14.49288964521667
,substation,,53.43213357403416,14.50402426028421
,substation,,53.43238971178779,14.506229160168806
,substation,,53.43153671843525,14.513646840420439
,substation,,53.42515482429836,14.508943451564019
,substation,,53.43202045671616,14.519898773847336
,substation,,53.43037696616289,14.540183890507278
Podstacja trakcyjna Kordeckiego,substation,,53.42307901587894,14.533055905872176
,substation,,53.4155805,14.5399399
Podstacja trakcyjna „Kolumba”,substation,,53.41739381185294,14.550963231028657
,substation,,53.42455361379653,14.54480540977175
,substation,,53.428682502549414,14.54483698750908
,substation,,53.42640734916197,14.553602814674171
"Podstacja trakcyjna ""Kaszubska""",substation,,53.42803112927945,14.549283575879398
,substation,,53.427461408347924,14.563077366947262
,substation,,53.4319487200792,14.568253096651217
,substation,,53.435965091797016,14.547594029691378
,substation,,53.436511053878746,14.546991795878451
,substation,,53.44658225567935,14.529467965717409
,substation,,53.446779646544734,14.5541063319122
,substation,,53.44620855186087,14.55575193068878
,substation,,53.44300146415551,14.565055116006073
,substation,,53.44161140544037,14.566933754344664
,substation,,53.440975649302544,14.56533709904236
,substation,,53.44113759626102,14.568232976702086
,substation,,53.44134001916792,14.570067776368935
,substation,,53.44561383585599,14.573401438474674
,substation,,53.4450064,14.568637950000001
,substation,,53.40559353915555,14.534114990696008
,substation,,53.405088156546704,14.533558091267276
,substation,,53.401621252064764,14.53222843723703
,substation,,53.402824931956665,14.53352384528118
,substation,,53.40882898326588,14.534647566462569
,substation,,53.400751128047894,14.53250236504637
,substation,,53.40133522341087,14.527033872698274
,substation,,53.40057769656963,14.519042831128825
,substation,,53.39783309560078,14.52855544711951
,substation,,53.398101407523555,14.52617168792023
,substation,,53.39837785575641,14.523902504915954
,substation,,53.40241385994913,14.515389355598193
,substation,,53.40138165796769,14.524762341852478
,substation,,53.396641882448975,14.52288889265306
,substation,,53.44805794999999,14.562942899999998
,substation,,53.454048982123034,14.55126652781306
,substation,,53.45315942304219,14.557561609353655
,substation,,53.45299380430724,14.562860128588072
,substation,,53.39062406821352,14.505630574559707
,substation,,53.46401098626804,14.57638538219
,substation,,53.46168259007001,14.565995272754622
,substation,,53.425891523139946,14.482633368698373
,substation,,53.45339963718763,14.569165115281658
,substation,,53.45815914662633,14.588996654457006
,substation,,53.45700053441037,14.580565880039083
,substation,,53.45153319209485,14.585598142195675
,substation,,53.45486658806295,14.568682294643262
,substation,,53.455987311729025,14.587091501636095
,substation,,53.449525983758114,14.566132833726092
,substation,,53.45641289609237,14.583713588099465
,substation,,53.451604928881714,14.565768583064353
,substation,,53.45352617846977,14.58478430405743
Stacja elektroenergetyczna 110/15kV Żelechowa,substation,,53.45036842669118,14.576022098127766
,substation,,53.4534629751112,14.489997062818151
,substation,,53.452964028636316,14.501015563990212
,substation,,53.45215162718438,14.505985999353243
,substation,,53.45376695000001,14.500164
,substation,,53.455546475044216,14.499343884113953
,substation,,53.458476941414446,14.58786177572359
,substation,,53.47821919381874,14.604424236689164
,substation,,53.49705254256795,14.60772474318968
,substation,,53.496785116862895,14.614940135059896
,substation,,53.47932740000001,14.550794349999999
,substation,,53.47532550412314,14.548162129751917
,substation,,53.482914,14.476858399999998
,substation,,53.47809009741554,14.484685876653806
,substation,,53.463276844985394,14.494457839422243
,substation,,53.47827590000001,14.481382000000002
,substation,,53.49411655146942,14.478372359528093
,substation,,53.51630864778673,14.61428202288333
,substation,,53.524802553868575,14.590927730425356
,substation,,53.39942588595261,14.559822123931847
,substation,,53.42155688491421,14.562271183817648
,substation,,53.41901618253132,14.585621695161526
,substation,,53.42091415000001,14.58276945
,substation,,53.42371342658309,14.585679301949842
,substation,,53.41851076901369,14.58214276642856
,substation,,53.368833599999995,14.613202
,substation,,53.362797442280645,14.60632849239795
,substation,,53.36343913775,14.611712805627993
,substation,,53.36674747260082,14.647702878354421
,substation,,53.36747867542053,14.647946537007494
,substation,,53.36843211508094,14.643079171639787
,substation,,53.37140798262183,14.646707154067517
,substation,,53.365810723904566,14.648252765782567
,substation,,53.36962151731764,14.652691723972598
,substation,,53.36763875,14.658971850000002
,substation,,53.36849168761659,14.648452340110449
,substation,,53.36753713617574,14.649722127183711
,substation,,53.36654135401259,14.651966585800846
,substation,,53.36865510000001,14.66076815
,substation,,53.3660591,14.6642003
,substation,,53.369266317620664,14.65519813193482
,substation,,53.34692205,14.5672891
,substation,,53.437356596627716,14.74750298114605
,substation,,53.37390026462701,14.64495775016615
,substation,,53.382230063520396,14.641201013293264
,substation,,53.38435740377231,14.6469401864994
,substation,,53.38075488093737,14.64613820858104
,substation,,53.377999923403024,14.646582160003764
,substation,,53.346328103888276,14.74948341787061
,substation,,53.374116,14.669197550000002
,substation,,53.36749713056585,14.66822078162062
,substation,,53.38034192224792,14.65021691319692
,substation,,53.373891318401846,14.659076955759435
,substation,,53.3808716,14.65254965
,substation,,53.37660685,14.655899950000004
,substation,,53.37287638341516,14.648156798527003
,substation,,53.3753509,14.651181299999998
,substation,,53.37522885,14.6559872
,substation,,53.37758979999999,14.662697650000002
,substation,,53.37604542710015,14.661087414417862
,substation,,53.37751246723948,14.653534844266998
Stacja elektroenergetyczna 110kV,substation,,53.41095059891757,14.584961183892696
Stacja elektroenergetyczna 110/15kV Gumieńce,substation,,53.42407361454702,14.478300315359506
,,water_works,53.52841364292678,14.573652964297313
"Podstacja trakcyjna ""Szczecin Wstowo""",substation,,53.39503763639451,14.520030840948941
,substation,,53.48045712780847,14.543006399631677
Stacja elektroenergetyczna „Pomorska” 110kV,substation,,53.38821217538691,14.691215308446804
"Stacja elektroenergetyczna ""Załom"" 110 kV",substation,,53.42547325384404,14.729332054061874
Podstacja elektroenergetyczna „Szczecin Dąbie”,substation,,53.39010135040598,14.684512093814224
pompownia wody Warszewo,,water_works,53.47134193532435,14.556109328663965
,substation,,53.37945579628999,14.643873601207552
Oczyszczalnia Ścieków „Ostrów Grabowski”,,wastewater_plant,53.4248992118731,14.592686827305556
,substation,,53.365361465583625,14.650841582124386
"Zakład Produkcji Wody ""Pilchowo""",,water_works,53.493165957312264,14.473139056616363
"Zakład Produkcji Wody ""Arkonka""",,water_works,53.463401887561034,14.520058763641574
,substation,,53.531255804469815,14.586666050971717
Osadnik odpadów przemysłowych,,wastewater_plant,53.39205681801854,14.607317095925678
Oczyszczalnia Ścieków Zdroje,,wastewater_plant,53.382652106509006,14.621270412521673
Stacja Elektroenergetyczna 220kV Pomorzany,substation,,53.390248012927266,14.521868874510702
,substation,,53.39381679937016,14.519469167114659
Stacja elektroenergetyczna „Zdroje” 110kV,substation,,53.386776266304565,14.627357427980328
,substation,,53.43126665,14.4844361
"Zakład Produkcji Wody ""1-Maja""",,water_works,53.44505295847754,14.568559671548018
"Zakład Produkcji Wody ""Skolwin""",,water_works,53.51774446511985,14.581960841548481
"Stacja elektroenergetyczna ""Skolwin"" 110kV",substation,,,
"Stacja elektroenergetyczna ""Skolwin"" 110kV",substation,,53.51423575437386,14.616986928714029
,substation,,53.44603428803482,14.57106443576152
,substation,,53.44137285431298,14.573947284349147
,substation,,53.386628399361705,14.628057256107683
,substation,,53.39257599999999,14.5019467
,substation,,53.418400803001205,14.538159266624508
,substation,,53.41700302283181,14.53783188365783
,substation,,53.36628590415604,14.613249638172153
,substation,,53.366237268613126,14.609743067823267
,substation,,53.44407855840805,14.547988748507645
Podstacja trakcyjna „Szczecin Dąbie”,substation,,53.390214382965645,14.683555924039776
,substation,,53.4011539,14.56134325
Podstacja trakcyjna „Chmielewskiego”,substation,,53.406547295698076,14.534865144780277
,substation,,53.49216810458182,14.588360375689795
,substation,,53.49351597458664,14.584693606095856
,substation,,53.49037858496153,14.586530016499456
,substation,,53.4459251925975,14.489652231918035
Tesla Supercharger,substation,,53.38195745,14.67006795
,substation,,53.39255105483589,14.501909085074255
,substation,,53.39266466594709,14.501885393667624
ZK-SN Chmielewskiego 19,substation,,53.40332835,14.53314295
,substation,,53.40444127081105,14.53425082306432
Zakład Produkcji Wody „Świerczewo”,,water_works,53.43262200837165,14.489977532567398
