name,amenity,leisure,tourism,latitude,longitude
,,,attraction,54.3506969,18.6586781
,,,attraction,54.3506981,18.6586784
,,,attraction,54.3506992,18.6586786
Cinema1,cinema,,,54.3517876,18.5941803
Brama Swietojanska,,,attraction,54.3514629,18.6578159
,,,attraction,54.3788728,18.5805183
Helios,cinema,,,54.3828115,18.6056454
Soszyńska Dance Academy,,dance,,54.3832268,18.606135
Tone Zone,,fitness_centre,,54.3829779,18.6043432
Wystawa samochodów klasycznych,,,museum,54.3828521,18.6053891
,,amusement_arcade,,54.3829739,18.6049539
Stara Apteka,,,attraction,54.3510373,18.6489174
Brama Św. Ducha,,,attraction,54.3498701,18.6570446
Brama Chlebnicka,,,attraction,54.3486742,18.6561846
Brama Straganiarska,,,attraction,54.3521692,18.6578219
Brama Świętojańska,,,attraction,54.3514747,18.6577523
Spichlerz Panna,,,attraction,54.3507311,18.6589329
Spichlerz Królewski,,,attraction,54.3520541,18.6591018
Spichlerz Miedź,,,attraction,54.3508744,18.6589452
Spichlerz Oliwski,,,attraction,54.3509985,18.6589903
Dom Angielski,,,attraction,54.3486082,18.6554548
Zajazd z XVII w.,,,attraction,54.3540398,18.6588343
Spichlerz Nowa Pakownia,,,attraction,54.3492396,18.6605247
Nabrzeże zbożowe,,,attraction,54.3919251,18.6703106
Strzelnica DSTeam,,sports_centre,,54.3398372,18.6191519
Widok III. Nad Kaczym Dołkiem,,,viewpoint,54.372222,18.603333
"Maszt z ORP ""Bolko""",,,attraction,54.3509752,18.6595449
Pława bezpiecznej wody,,,attraction,54.3507338,18.6595366
Widok II. Podleśna Polana,,,viewpoint,54.372724,18.588938
Dom Kultury Młyniec,arts_centre,,,54.3924531,18.5970889
Zderzenie,,,artwork,54.354832,18.6641026
Widok IV. Wronia Górka,,,viewpoint,54.3618198,18.6321674
Widok V. Spod Ślimaka,,,viewpoint,54.3693483,18.6039173
Widok I. Dwór I,,,viewpoint,54.4041387,18.5569915
Widok VI. Wzgórze Bitwy Oliwskiej,,,viewpoint,54.4130289,18.5507365
Hipopotam karłowaty,,,attraction,54.4108142,18.5340892
Tapir amerykański,,,attraction,54.4106637,18.5360106
Kapibara wielka,,,attraction,54.4106244,18.5363009
Nandu szare,,,attraction,54.4105191,18.5368084
Eland zwyczajny,,,attraction,54.4098049,18.5373302
Bongo górskie,,,attraction,54.4101977,18.5380885
Koronnik szary,,,attraction,54.4091778,18.534472
Wilk grzywiasty,,,attraction,54.4103425,18.5332559
Kob liczi,,,attraction,54.4116536,18.5330558
Słoń indyjski,,,attraction,54.4120597,18.5334325
Ryś euroazjatycki,,,attraction,54.4138121,18.5344789
Żbik europejski,,,attraction,54.4140392,18.5345637
Serwal sawannowy,,,attraction,54.4142938,18.5342275
Lampart perski,,,attraction,54.4143835,18.5340709
Osioł domowy,,,attraction,54.4144721,18.532131
Daniel zwyczajny,,,attraction,54.4148108,18.5298204
Gereza abisyńska,,,attraction,54.4137394,18.5329162
Wyjec czarny,,,attraction,54.4139278,18.5321707
Kangur rudy,,,attraction,54.4138596,18.5334424
Sitatunga,,,attraction,54.4114631,18.5334152
Oryks szablorogi,,,attraction,54.4111608,18.5335796
,,,artwork,54.3233027,18.6328045
,,,viewpoint,54.3256489,18.6277569
Piwnica Romańska,,,museum,54.3524863,18.6517587
Centrum Sztuki Współczesnej Łaźnia 2,community_centre,,,54.3999971,18.6716144
Kibice Razem Lechia Gdańsk,community_centre,,,54.3740856,18.6132113
Banana Beach Club,nightclub,,,54.4256262,18.5958946
,,water_park,,54.427475,18.5955227
Dawna skocznia,,,viewpoint,54.3988335,18.5261673
Nadbałtyckie Centrum Kultury,arts_centre,,,54.3539034,18.6479336
"Kino ""Muzeum""",cinema,,,54.3563117,18.6604658
Flora,,,artwork,54.322381,18.6248381
Ławka Konstancji,,,artwork,54.3228825,18.6262034
My Gim,,fitness_centre,,54.4324141,18.4799601
