name,amenity,leisure,tourism,latitude,longitude
,bench,,artwork,52.2068112,21.0814802
"Centrum Kultury ""Saska Kępa""",arts_centre,,,52.2255656,21.0601131
Rytm,,,artwork,52.2417343,21.0588161
Tancerka,,,artwork,52.2440083,21.0505181
Kąpiąca się,,,artwork,52.2429536,21.0524313
,,,artwork,52.2494676,21.0042153
Ikar,arts_centre,,,52.1793482,20.9478708
Zdrofit,,fitness_centre,,52.2325351,20.9632583
Muzeum Liczników,,,museum,52.2655841,21.0828719
Zdrofit,,fitness_centre,,52.1811097,21.0273051
Centrum Kultury Koreańskiej,community_centre,,,52.2345499,21.0310362
Praskie Aniołki,,,artwork,52.2526463,21.0383314
Muzeum Neonów,,,museum,52.2501511,21.0623554
Praski aniołek,,,artwork,52.2544204,21.0359638
Polonia,theatre,,,52.2236311,21.0159249
Praski Aniołek „Borys”,,,artwork,52.2525222,21.0516191
Muzeum Sportu i Turystyki,,,museum,52.2741639,20.9968897
Palma,,,artwork,52.2318536,21.0208595
,,adult_gaming_centre,,52.2012402,21.0329308
Explosion,nightclub,,,52.2216011,21.0848236
Kot Niezależny Cyryl,,,artwork,52.2300216,21.0875276
Białołęcki Ośrodek Kultury,arts_centre,,,52.3135966,20.9532725
Yoga Republic,,fitness_centre,,52.2194965,21.0184878
Gravitan,,fitness_centre,,52.3049308,21.0774847
Wgórę,,sports_centre,,52.1965578,21.0262555
,,,attraction,52.241388,21.0278061
Centrum sportowe,,sports_centre,,52.1879536,20.9609342
,,adult_gaming_centre,,52.1737689,21.0194911
Miejski Ośrodek Kultury,community_centre,,,52.2505361,21.2436405
,,,viewpoint,52.2166192,21.0844376
ADA Puławska,community_centre,,,52.2076804,21.0227835
Klub SPATiF,nightclub,,,52.2267422,21.0231138
Zdrofit,,fitness_centre,,52.2772754,21.0494529
Kibitka,,,attraction,52.2662809,21.0003656
Armaty carskie,,,attraction,52.2663587,21.0017156
Kinoteka,cinema,,,52.2313226,21.0064611
Dziekanat 161,nightclub,,,52.1625408,21.039606
Toguna,,,artwork,52.2920367,21.0411364
Druga Strefa,theatre,,,52.1861752,21.0055722
Kino Świt,cinema,,,52.2847966,21.0215986
,,,artwork,52.2564499,20.968972
Dom Spotkań z Historią,,,museum,52.2423949,21.0167091
Zdrofit,,fitness_centre,,52.2355293,21.0846287
Poradnia Psychologiczno-Pedagogiczna,community_centre,,,52.2266202,20.9150229
Pałac Kultury i Nauki,,,viewpoint,52.2318196,21.0062565
147 Break,pub,sports_centre,,52.224449,20.9905374
Muzeum Andrzeja Struga,,,museum,52.217627,21.0054501
TuPraga,arts_centre,,,52.25922,21.0338395
Centrum Sztuki Destrukcyjnej,community_centre,,,52.2413306,20.9960408
Teatr Kamienica,theatre,,,52.2432284,20.9985792
Bug,,,artwork,52.2145807,21.0355159
Wisła,,,artwork,52.2145842,21.0361144
Bachantka chwytająca winne grono z ręki satyra,,,artwork,52.2146417,21.0356679
Hermafrodyta odtrącający nimfę Salmakis,,,artwork,52.2146461,21.0359699
Tańczący Satyr,,,artwork,52.2149699,21.0355974
Bachantka,,,artwork,52.2149746,21.0360158
,,,artwork,52.2149986,21.0357541
,,,artwork,52.2149998,21.03585
,,,artwork,52.2150603,21.0358479
,,,artwork,52.2150611,21.035752
,,,artwork,52.250155,21.0051425
,,,artwork,52.2501898,21.0050663
,,,artwork,52.2501938,21.0052206
Tokio Fitness Club,,fitness_centre,,52.3194097,20.9658355
527 Kilometr Wisły,,,viewpoint,52.3432535,20.927271
Kino Akademickie,cinema,,,52.254997,20.895534
Energy Fitness,,fitness_centre,,52.2055909,21.032661
Spotkania z Europą,,,museum,52.2355255,21.0111258
Siłownia pod chmurką,,fitness_centre,,52.2250347,20.9196443
,,amusement_arcade,,52.2238818,20.9174449
Pałac Młodzieży,community_centre,,,52.2322993,21.005865
Klub Komediowy,theatre,,,52.2197709,21.0170469
Nastula Club,,sports_centre,,52.2725563,20.9632421
Mrs.Sporty,,fitness_centre,,52.172388,21.0209148
Pani S.,,,artwork,52.2119366,20.9975757
Biennale Warszawa,arts_centre,,,52.2215263,21.0185237
Faktyczny Dom Kultury,community_centre,,,52.2352583,21.0196639
Cinema City,cinema,,,52.2570333,20.9847275
Multikino,cinema,,,52.2417033,20.9327746
Anioł Stróż,,,artwork,52.2910323,21.038796
Do odnalezienia,,,artwork,52.2894076,21.0374312
Do odnalezienia,,,artwork,52.2899488,21.0381072
Nie jesteś sam,,,artwork,52.2911618,21.0372433
Do odnalezienia,,,artwork,52.2900008,21.0372011
Sylwia,,,artwork,52.2905953,21.0393274
Raj,,,artwork,52.2908704,21.0389945
Muzeum Jana Pawła II i Prymasa Wyszyńskiego,,,museum,52.1585582,21.0718394
Muzeum Jerzego Popiełuszki,,,museum,52.2675508,20.9840931
Muzeum gen. Władysława Sikorskiego,,,museum,52.2032258,21.0345951
Muzeum Harcerstwa,,,museum,52.2282068,21.0262487
Muzeum Historii Medycyny,,,museum,52.2064824,20.9858781
Teatr Żydowski,theatre,,,52.2426951,21.0053653
Muzeum Historii Spółdzielczości w Polsce,,,museum,52.2335931,21.0119722
Muzeum Legii Warszawa,,,museum,52.2213566,21.0406921
Muzeum SGGW,,,museum,52.1638246,21.0444657
Muzeum Uniwersytetu Kardynała Stefana Wyszyńskiego,,,museum,52.2952446,20.9599765
Muzeum Uniwersytetu Warszawskiego,,,museum,52.2403663,21.0168882
Święta Barbara,,,artwork,52.2327274,21.0374375
I LOVE FITNESS,,sports_centre,,52.3318087,20.9421054
Zdrofit,,fitness_centre,,52.2456302,20.9059648
Siłownia Plenerowa,,sports_centre,,52.2769987,20.9171655
SkyStudio Klub Fitness,,sports_centre,,52.2755683,20.9210962
Tankred i Klorynda,,,artwork,52.2144095,21.0369908
,,,artwork,52.261478,20.9930311
Warsztatowa Akademia Musicalowa,,dance,,52.2642782,20.9704033
,,,artwork,52.285518,20.9514552
Centrum Tancerza – TLD,,dance,,52.2685761,20.9911942
Muzeum Woli,,,museum,52.2278836,20.9897384
FitnessPark Agora,,fitness_centre,,52.2035334,21.0472518
Skład Butelek,nightclub,,,52.2590956,21.0370317
Siłownia Gladiator,,fitness_centre,,52.2810007,20.9495897
,,,viewpoint,52.1942002,21.0725652
ZanziBar,nightclub,,,52.2287584,21.0137508
Maszt Wolności,,,attraction,52.2547713,20.9821756
Akademia Walki,,sports_centre,,52.2424132,21.070583
Mrs. Sporty,,fitness_centre,,52.2372116,21.056882
Cinema City,cinema,,,52.1790541,21.0040401
,,adult_gaming_centre,,52.2288204,21.0131632
McFit,,fitness_centre,,52.2336834,21.1028553
Prawda,,,artwork,52.2405539,21.0090829
Twórczość,,,artwork,52.2405693,21.0091852
Astronomia,,,artwork,52.2405895,21.0093195
Medycyna,,,artwork,52.2406555,21.0097337
,,,artwork,52.2406746,21.0090345
Zima,,,artwork,52.2406797,21.009901
,,,artwork,52.2407102,21.009271
,,,artwork,52.24077,21.0096894
Jesień,,,artwork,52.2407923,21.0098601
Dzielnicowy Ośrodek Kultury Wola im. S. Żeromskiego,arts_centre,,,52.2465446,20.9478685
Bielańska Scena Kameralna,theatre,,,52.2762314,20.9478341
Alina,fountain,,artwork,52.2685704,20.9879855
"Żoliborski Dom Kultury, Prochownia Południowa",arts_centre,,,52.2678781,20.9888723
Fundacja Jeden Drugiemu,community_centre,,,52.2442512,20.9575025
Mig-21,,,attraction,52.2104357,21.0135617
,clock,,artwork,52.2108931,21.0339859
Jutrzenka,,,artwork,52.2095647,21.0337068
QueerMuzeum,,,museum,52.2256881,21.0136893
Herkules,,,artwork,52.216108,21.0321191
Cassiopeia-Art.pl,,sports_centre,,52.2421315,20.9448723
Studio Zdrowia,,sports_centre,,52.2468071,20.9569537
,,,viewpoint,52.1519843,21.2565757
,,,artwork,52.2158436,21.0306138
,,,artwork,52.2158498,21.0300976
,,,artwork,52.2158507,21.0300002
,,,artwork,52.2158556,21.0294875
Tygmont,nightclub,,,52.236993,21.0133254
Centrum Wspinaczkowe On Sight,,sports_centre,,52.2480282,20.9538627
Słup powodziowy,,,attraction,52.1663675,21.0917947
Zdrofit,,fitness_centre,,52.2625599,20.9805058
Uzależnienia Behawioralne,,,artwork,52.247668,20.9572517
Taras widokowy Lotniska im. F. Chopina,,,viewpoint,52.170265,20.9718653
Górka Spotterska,,,viewpoint,52.1657656,20.9518087
"Młodzieżowy Dom Kultury ""Mokotów""",arts_centre,,,52.1957644,21.0128422
,,escape_game,,52.2644583,20.9697407
