name,amenity,leisure,tourism,latitude,longitude
Niedźwiedź himalajski,,,attraction,51.1063327,17.0740033
Patas,,,attraction,51.1067957,17.0724032
Renifer,,,attraction,51.104882,17.0693605
Sajmiri,,,attraction,51.104532,17.0698929
Sika Dybowskiego,,,attraction,51.1042855,17.0699521
Słoń indyjski,,,attraction,51.1060238,17.0716045
Tygrys sumatrzański,,,attraction,51.1063146,17.0728767
Wilk,,,attraction,51.1064215,17.0732379
Cherry Club,nightclub,,,51.1110691,17.0340536
Domówka,nightclub,,,51.1103015,17.0335677
,nightclub,,,51.1094273,17.0254168
Muzeum Poczty i Telekomunikacji,,,museum,51.108499,17.0444508
tender beczkowy,,,attraction,51.1111364,17.1242477
Impelek,,,artwork,51.1283447,17.0442164
Pociąg do nieba,,,artwork,51.1126659,17.0052923
Hala Orbita,,sports_centre,,51.1325055,16.9871101
Syzyfki,,,artwork,51.1089342,17.0328773
Arcade Bee,,amusement_arcade,,51.1107529,17.0326276
Wężownik,clock,,attraction,51.0906283,17.0334208
Oskar Lange,,,artwork,51.0907714,17.0249985
,,,viewpoint,51.1060692,17.0732117
Tapir anta,,,attraction,51.1061018,17.0721245
Panda mała,,,attraction,51.1045571,17.0730667
Bibliofil,,,artwork,51.1056077,17.0328725
"Ratuś, Bulbulek, Helpik, Plumplumek",,,artwork,51.105569,17.034528
Florianek,,,artwork,51.1066976,17.0318277
Klub sportów wodnych i rowerowych PEGAZ,,sports_centre,,51.1337665,17.010674
Słupnik,,,artwork,51.1087365,17.0327574
ok! art,,,gallery,51.1207696,17.0412745
Hipopotam karłowaty,,,attraction,51.1064986,17.0719173
Centrum Wspinaczkowe Tarnogaj,,sports_centre,,51.0864471,17.0514821
Wypłatnik,,,artwork,51.109852,17.0302189
Wiesiek Partnerski,,,artwork,51.1101704,17.0312063
Dialogomir,,,artwork,51.109691,17.0291651
Weteran,,,artwork,51.1114137,17.0300503
Pożarki,,,artwork,51.1111649,17.0304771
WrocLovek,,,artwork,51.1111405,17.0307613
Motocyklista,,,artwork,51.1095582,17.0345633
Bankomatki,,,artwork,51.1116931,17.034092
,,,viewpoint,51.0833604,16.9730798
Podwodny Świat,,,artwork,51.0887943,17.0346797
Długi,,,artwork,51.108985,17.0295526
Giełduś,,,artwork,51.1089962,17.0295041
Krasnoludzki Świat,,,artwork,51.1018876,17.0102397
Nosorożec indyjski,,,attraction,51.1058351,17.0732203
Treningmam.pl,,fitness_centre,,51.0808246,17.0160066
Wściekły Pies,nightclub,,,51.1102624,17.0253831
Mundo 71,nightclub,,,51.1097982,17.0253412
,,,artwork,51.1109249,17.0430861
Broń,,,artwork,51.1113245,17.0430775
Głowa robotnika,,,artwork,51.1117157,17.0435137
Oficyna Graficzna Tyszkiewicz,,,gallery,51.1088845,17.0261652
Hasta La Vista,,sports_centre,,51.1088336,17.0020515
Klub Hawana,,fitness_centre,,51.1392812,17.0320442
Fitness World,,fitness_centre,,51.127022,17.0367469
Classic Fitness,,fitness_centre,,51.10839,17.0407739
Fitness Academy,,fitness_centre,,51.141672,17.0858142
Iglica,,,artwork,51.1094177,17.0294458
Muzeum Etnograficzne,,,museum,51.0998471,17.0529961
Atom,,,artwork,51.1116242,17.0513611
Muzeum Człowieka,,,museum,51.113697,17.0350895
,,,artwork,51.1115368,17.0267358
,,,viewpoint,51.0946815,17.0189176
,,,viewpoint,51.1094845,17.0345977
wieża bazyliki,,,viewpoint,51.1114887,17.0299298
,,,viewpoint,51.1148486,17.0439812
,,,viewpoint,51.1141806,17.046051
Krzesło,,,artwork,51.1126207,17.0288616
Rzeźby psów,,,artwork,51.1460414,17.1125168
MiG-29,,,attraction,51.1012411,17.1212038
Rzeźba Konia,,,artwork,51.1106478,17.035076
"Żywy pomnik ""Arena""",,,artwork,51.1149565,17.0388799
Fitness Academy,,fitness_centre,,51.1132152,17.0585905
CAL Kozanów,community_centre,,,51.1402467,16.9655847
City Sports,,sports_centre,,51.1524183,17.11815
Kryształowa Planeta,,,artwork,51.1088526,17.0267259
Pieśń Kozła,theatre,,,51.1103079,17.0397134
Pomnik Anonimowego Przechodnia,,,artwork,51.1014011,17.0295374
