name,railway,latitude,longitude
Gdańsk Stocznia,halt,54.3646358,18.6417851
Gdańsk Politechnika,halt,54.3741905,18.6274077
Gdańsk Stadion Expo,halt,54.387496,18.6331559
Gdańsk Lipce,halt,54.3014686,18.6359096
Gdańsk Orunia,halt,54.324252,18.6344756
Gdańsk Żabianka - AWFiS,halt,54.4207672,18.5684877
Gdańsk Zaspa,halt,54.3897726,18.591526
Gdańsk Brętowo,halt,54.3651261,18.5735495
Gdańsk Kiełpinek,halt,54.3553612,18.5285628
Gdańsk Matarnia,halt,54.3734866,18.5063816
Gdańsk Niedźwiednik,halt,54.378158,18.5720769
Gdańsk Jasień,halt,54.3537062,18.5502959
Gdańsk Śródmieście,halt,54.3468793,18.6443526
Gdańsk Główny,station,54.3564345,18.6441946
Gdańsk Wrzeszcz,station,54.3817696,18.6055111
Gdańsk Oliwa,halt,54.4094163,18.5718541
Gdańsk Kokoszki,station,54.3623351,18.4920256
Gdańsk Port Lotniczy,halt,54.3827282,18.4665403
Gdańsk Przymorze - Uniwersytet,halt,54.4007278,18.5766182
Gdańsk Osowa,station,54.4222198,18.4526329
Gdańsk Rębiechowo,station,54.3874305,18.4465066
Gdańsk Strzyża,halt,54.3917534,18.5788345
Gdańsk Firoga,halt,54.3782828,18.4871284
Gdańsk Oliwa SKM,halt,54.4096245,18.5720912
