name,railway,latitude,longitude
Białystok Fabryczny,station,53.1405223,23.1841933
Białystok Starosielce,station,53.1211871,23.0867818
Białystok Bacieczki,halt,53.1505228,23.0719921
Białystok Stadion,halt,53.0978043,23.1295416
Białystok,station,53.1336211,23.1354375
Białystok Nowe Miasto,halt,53.106445,23.1137082
Białystok Zielone Wzgórza,halt,53.1154962,23.1030024
