name,railway,latitude,longitude
Radom Potkanów,halt,51.3529669,21.1021077
Radom Główny,station,51.3909217,21.1553821
Radom Stara Wola,halt,51.439313,21.1848514
Radom Północny,halt,51.4195838,21.1864917
Radom Gołębiów,halt,51.4124069,21.1879335
Radom Wschodni,halt,51.3990752,21.1737162
