name,amenity,leisure,tourism,latitude,longitude
Święty Stanisław Kostka,,,artwork,54.5159066,18.526685
Oddech Uważność Relaks,,fitness_centre,,54.4735754,18.4623967
,,,viewpoint,54.5600857,18.4805467
Tuse odmień głowę,,,artwork,54.5156231,18.5310649
The Art of the Deal,,,artwork,54.5221548,18.5524963
Zażółć gęślą jaźń,,,artwork,54.5221179,18.544921
Zdrowia przede wszystkim,,,artwork,54.5220941,18.5426669
85 lat ORP Błyskawica,,,artwork,54.5132581,18.5387996
,,,artwork,54.5159775,18.5396119
,,,viewpoint,54.5550141,18.5160931
,,,artwork,54.5489442,18.5156749
,,,artwork,54.5491454,18.5155024
,,,viewpoint,54.5512281,18.5171876
,,,artwork,54.5494216,18.548231
,,,viewpoint,54.4872455,18.5165439
Matka Boża z Nazaretu,,,artwork,54.4880842,18.5289973
,,,artwork,54.5184624,18.5410314
,,,artwork,54.5000829,18.5140172
Rezerwat rzemieślników,,,artwork,54.5209967,18.5351724
Pomnik pamięci zamęczonych za wiarę i ojczyznę w latach okupacji,,,artwork,54.5175755,18.542119
Karate Klub Gdynia,,fitness_centre,,54.5012052,18.4306517
,,,artwork,54.4692767,18.467371
Dąbrowa,,,artwork,54.4683365,18.4630211
Przystań Chabrowa 43,community_centre,,,54.5336937,18.4460966
ORP Sokół,,,attraction,54.515539,18.5485858
Zbigniew Rybak,,,artwork,54.5375845,18.438984
Pies Baltic,,,artwork,54.5220582,18.5530674
,,,artwork,54.4606661,18.5208728
,,,artwork,54.481302,18.5637206
,,,artwork,54.519491,18.5481395
Areczka,,,artwork,54.5012991,18.5030462
Arka Gdynia Witomino,,,artwork,54.5012096,18.5033928
Arka Polonia,,,artwork,54.4981386,18.5076394
,,,viewpoint,54.4889623,18.5664401
Well Fitness,,fitness_centre,,54.4616232,18.4501903
,,,artwork,54.5218769,18.5466182
Wieża Eiffla,,,artwork,54.4928004,18.4262225
,,,artwork,54.5200849,18.5336721
,,,artwork,54.4987741,18.5445827
,,,viewpoint,54.4827521,18.5287373
Ania,,,artwork,54.47795,18.551619
,,,artwork,54.5210017,18.5323963
,,,artwork,54.5206995,18.5347483
,,,artwork,54.520593,18.5347134
,,,artwork,54.5205342,18.5346898
,,,artwork,54.5200746,18.5345342
,,,artwork,54.5213644,18.5373132
Tadeusz Wenda,,,artwork,54.5217336,18.5391123
,,,artwork,54.5230094,18.542862
,,,artwork,54.5245801,18.5435174
,,,artwork,54.5242286,18.5444123
,,,artwork,54.5243302,18.5441918
,,,artwork,54.5243741,18.5457645
,,,artwork,54.5223754,18.544636
,,,artwork,54.5217502,18.547511
,,,artwork,54.5144052,18.5495521
,,,artwork,54.5145719,18.5447534
,,,artwork,54.5179372,18.5428314
,,,artwork,54.519375,18.5392205
,,,artwork,54.5429261,18.5341418
UpGrade Studio,,fitness_centre,,54.5276612,18.5029776
i-Gym,,fitness_centre,,54.550933,18.5365597
Stolemka,,,artwork,54.4990647,18.5378764
Arka Gdynia,,,artwork,54.528591,18.502483
Airspace,,amusement_arcade,,54.5249574,18.5383452
Arka Gdynia,,,artwork,54.544588,18.4474209
Cisowa Dzielnic Królowa,,,artwork,54.5443593,18.4472023
Activ,,fitness_centre,,54.5455993,18.4427961
Adventure Park,,,theme_park,54.46597826165794,18.55152806133756
Akwarium Gdyńskie,,,zoo,54.51834827610246,18.55721572039031
Teatr Muzyczny im. Danuty Baduszkowej,theatre,,,54.51659092017228,18.545520181956274
Stadion KPW Gdynia,,stadium,,54.541620956176025,18.548104656897436
Teatr Miejski w Gdyni im. Witolda Gombrowicza,theatre,,,54.51061689858104,18.53951487625905
Bazylika Kolegiacka (Morska) Najświętszej Maryi Panny Królowej Polski,place_of_worship,,attraction,54.51777814110814,18.54245518343253
Dom Jana Radtkego,,,attraction,54.51955950595006,18.542189342489138
Sala gimnastyczna Zespołu Szkół nr 6,,sports_centre,,54.482513860038324,18.536010018580107
Polsat Plus Arena Gdynia,,stadium,,54.49892211729688,18.531290116399433
,,track,,,
Gdyńskie Muzeum Motoryzacji,,,museum,54.547099499999995,18.45730295
Hale Targowe m. Gdyni,marketplace,,attraction,54.522572044851586,18.533786135438174
Pływalnia,,sports_centre,,54.544690245754346,18.458794959243104
,,stadium,,54.555715992625494,18.55314076420359
Przystań Chylońska 237,community_centre,,,54.546704353405175,18.444466510031656
,,track,,54.534904578976125,18.482904988391446
,,track,,,
Wieża widokowa w Kolibkach,,,viewpoint,54.46702614327814,18.542993303674237
,,sports_centre,,54.50186411733872,18.45467865356737
,,,viewpoint,54.50468163721083,18.556163325242974
Dar Pomorza,,,museum,54.519476614789255,18.552839727961167
ORP Błyskawica,,,museum,54.519559529199725,18.551159586322743
Molo w Orłowie,,,attraction,54.47993328789728,18.565576059309247
Scena Letnia Teatru Miejskiego w Gdyni imienia Witolda Gombrowicza,theatre,bleachers,,54.4756912,18.5623637
,,track,,,
Narodowy Stadion Rugby,,stadium,,54.497552658853344,18.531172292654496
"Centrum Sąsiedzkie ""Przystań Śmidowicza 49""",community_centre,,,54.542907397397386,18.536319063439958
,,sports_centre,,54.49052685,18.511324749999996
,,sports_centre,,54.50697732158351,18.54674887088925
Fitanu,,fitness_centre,,54.47376021415255,18.55243820340307
Zdrofit,,fitness_centre,,54.47441261589954,18.551724325587877
