name,railway,latitude,longitude
Bydgoszcz Wschód,station,53.1278962,18.0838582
Bydgoszcz Bielawy,halt,53.1318249,18.0532565
Bydgoszcz Łęgnowo,station,53.1071543,18.1126399
Bydgoszcz Brdyujście,halt,53.1334401,18.1109012
Bydgoszcz Politechnika,halt,53.1408643,18.1376313
Bydgoszcz Fordon,halt,53.1464952,18.1578364
Rynkowo Wiadukt,halt,53.152055,18.0053934
Bydgoszcz Zachód,halt,53.1361284,17.9487156
Bydgoszcz Główna,station,53.1352905,17.991601
Bydgoszcz Błonie,halt,53.1183445,17.9516345
Bydgoszcz Leśna,halt,53.1443446,18.030854
Bydgoszcz Osowa Góra,halt,53.1481642,17.9121481
