name,shop,amenity,latitude,longitude
Żabka,convenience,,50.0342218,21.982983
Żabka,convenience,,50.0037277,22.0116413
Społem,convenience,,50.0453763,22.0068189
Żabka,convenience,,50.0453084,22.0070922
Kubuś,convenience,,49.9955142,22.0043619
Żabka,convenience,,50.0493392,22.0003675
Żabka,convenience,,50.0197088,21.9955324
Śnieżynka,convenience,,50.0138022,22.0169289
abc,convenience,,50.0469275,21.9989795
Żabka,convenience,,50.0509578,22.0121782
MarketVita Express,convenience,,50.0412387,22.0081354
Jabłuszko,convenience,,50.0415888,22.0089578
Żabka,convenience,,50.0423918,22.0012293
Żabka,convenience,,50.0396664,22.0024724
Żabka,convenience,,50.037423,22.0077278
Żabka,convenience,,50.036481,22.0013831
Lux,convenience,,50.0397867,22.0078456
Żabka,convenience,,50.0420424,22.0057137
Źródełko,convenience,,50.0261943,21.9771495
Shell Select,convenience,,50.0206539,21.9934198
Żabka,convenience,,50.043329,21.9866267
Żabka,convenience,,50.0264783,22.0360079
,convenience,,49.9872985,22.0177463
Delikatesy Premium,convenience,,50.0215009,22.0050011
Biedronka,supermarket,,50.0529029,21.9774521
Żabka,convenience,,50.0460595,22.0030831
Żabka,convenience,,50.0306631,22.0080208
Społem,supermarket,,50.0473603,21.9987996
Delikatesy Centrum,supermarket,,50.0408456,22.00752
Żabka,convenience,,50.0376946,22.0036215
Społem,convenience,,50.037932,21.9821049
FRAC,supermarket,,50.0211856,22.0113347
FRAC,supermarket,,50.0492419,21.9772303
Żabka,convenience,,50.040143,22.0046427
Żabka,convenience,,50.0342454,21.9959276
Best from Ukraine,convenience,,50.0392472,22.0114808
MarketVita,convenience,,49.9683384,21.9839115
Żabka,convenience,,50.0521992,21.9882408
Żabka,convenience,,50.0271664,21.9958625
Śnieżynka,convenience,,50.0277761,21.9956973
Żabka,convenience,,50.0326012,21.9965523
Stokrotka,supermarket,,50.049045,21.9758514
Nasz Sklep,convenience,,50.0461362,22.0008087
FRAC,convenience,,50.0447881,21.9496059
Żabka,convenience,,50.0536855,21.9734757
Żabka,convenience,,50.0825183,21.9705547
Delikatesy Centrum,supermarket,,50.044902,21.9470721
MOL,convenience,,50.0290289,21.9769409
Żabka,convenience,,50.0401974,22.0087843
Żabka,convenience,,50.0418895,22.009846
ALDI,supermarket,,50.0477338,21.9870321
Nad Wisłokiem,convenience,,50.0308242,22.0080651
Delikatesy Premium,convenience,,50.0398878,22.036943
Żabka,convenience,,50.0398183,22.0371299
Bio Planet,supermarket,,50.0375901,21.9940521
Społem,convenience,,50.03769,21.9937526
Mini Max,convenience,,50.0440311,21.9737928
,supermarket,,50.0217212,22.0184966
Żabka,convenience,,50.0358892,22.0410213
Pasaż Rzeszów,mall,,50.03650405309163,22.00293352026825
Capital Park,mall,,50.02952714110366,22.017857918831762
Plaza Rzeszów,mall,,50.01976770708931,22.018794575625005
CH Respan,mall,,50.02097232194195,22.01971333975251
Społem,supermarket,,50.041710334242815,22.0057384161948
FRAC,supermarket,,50.01732208234093,22.004023203848387
Lidl,supermarket,,50.0232160964367,21.996017273990894
Center Park,mall,,50.04065283689364,22.007703391725894
Sklep firmowy Mlekowita,convenience,,50.017743888630264,22.004257347780783
Hetman,mall,,50.027381510344995,21.995257604367396
Biedronka,supermarket,,50.01953795091762,21.9939264431828
Valdi,convenience,fuel,50.019860175574415,21.991997681871858
Kaufland,supermarket,,50.019716686235334,22.015510129911004
Jedynka,mall,,50.02594227684471,22.007600628366703
CH Ameryka,mall,,50.04121750977448,22.000473685104357
Stara Szwalnia,mall,,50.04764291829256,21.98705821921393
Biedronka,supermarket,,50.047196647390166,22.01197021883962
Delikatesy GS-u,convenience,,50.0076797211574,21.954982052270203
MarketVita Express,convenience,,50.002796205687154,21.96983615933754
Żabka,convenience,,50.0000240099471,22.020351923420044
Sam,convenience,,50.02339290633289,21.98964659707835
plac targowy,,marketplace,50.024577927422925,21.99311822780593
Żabka,convenience,,50.03606060791735,21.99754740003012
Galeria Paniaga,mall,,50.036181608527194,22.001357440735095
Galeria Graffica,mall,,50.03532625661785,21.99665815098637
Delikatesy Centrum,supermarket,,50.03273158965385,21.981319613015764
Żabka,convenience,,50.03075770743058,21.977131830887707
