name,amenity,leisure,tourism,longitude,latitude
,,,,16.8530753,52.4007783
,,,,16.8597814,52.3963994
,,,,16.8596105,52.3963552
,,,,16.8764642,52.4199107
"Dom Kultury ""Jędruś""",community_centre,,,16.9511596,52.3798636
Smarkateria,community_centre,,,16.9105871,52.4103435
Asz.teatr,theatre,,,16.9168015,52.4495344
"Dom Kultury ""Na Pięterku""",community_centre,,,16.9602946,52.3777117
"Dom Kultury ""Polan 100""",community_centre,,,16.9601977,52.3837208
"Dom Kultury ""Jagiellonka""",community_centre,,,16.9530554,52.3909323
Lokomotywa Ty51-183,,,attraction,16.8609342,52.3968737
,,,,16.9388037,52.3842552
,,,,16.9383163,52.3819035
,,,,16.9387205,52.3837006
,,,,16.9390318,52.3847456
,,,,16.9391716,52.3849078
,,,,16.9391551,52.3859414
,,,,16.9381067,52.3862349
,,,,16.9371545,52.383847
,,,,16.9370119,52.3835959
,,,,16.9369426,52.3824054
,,,,16.9410691,52.3937273
Gracie Barra,,sports_centre,,16.912681,52.4080311
,,,,16.9412106,52.3946364
,,,,16.9430549,52.39499
KS Pocztowiec,,sports_centre,,16.9480449,52.4021124
Coraz Lepiej,nightclub,,,16.933085,52.4061738
Czarna Owca,nightclub,,,16.9323242,52.406244
,,,,16.9748059,52.4059432
,,,,16.805399,52.3922039
,,,,16.9871623,52.4023216
,,,,16.986775,52.4024121
Club 13.13,nightclub,,,16.934484,52.4100827
Galeria Dom Sztuki,,,gallery,16.8022127,52.3965493
,,,,17.0164179,52.4003329
,,,,16.9942212,52.4003789
Ssaki drapieżne,,,attraction,17.0001288,52.4014473
Ptaki drapieżne i sowy,,,attraction,17.0027623,52.4020361
Flamingi,,,attraction,16.9986509,52.3965868
Pyrlandpark,,sports_centre,attraction,16.9872089,52.3971915
,,,,16.9944506,52.4009534
Huśtawka wodna,,,attraction,16.9866433,52.4024041
Kibice Razem Lech Poznań,community_centre,,,16.9546571,52.4129173
Świetlica Osiedlowa,community_centre,,,16.8523527,52.4923694
Świetlica,community_centre,,,16.8547755,52.4817851
Świetlica osiedlowa,community_centre,,,16.8553016,52.479894
,,,,16.9330396,52.425451
Sofit studio,,sports_centre,,16.9436385,52.4083781
Klub Muzyczny B17,nightclub,,,16.8591877,52.397296
Jump Arena Rataje,,sports_centre,,16.9791109,52.3777083
Yoga Friends Poznań,,sports_centre,,16.8953864,52.3977037
Laser Tag Poznań,,sports_centre,,16.9165114,52.4451284
"Osiedlowy Dom Kultury ""Wiktoria""",community_centre,,,16.9299741,52.4390354
Bunuba Klub,nightclub,,,16.9365843,52.4092449
Światowid,clock,,attraction,16.9117742,52.4075109
,,,,16.8743878,52.4736037
Sztuczna ruina,,,attraction,16.9555835,52.4960052
Fabryka Urody,,,,16.9401387,52.4311097
Centrum Bukowska,community_centre,,,16.897942,52.4084834
Fontanna Wolności,,,attraction,16.9282217,52.4080323
PIX.HOUSE,,,gallery,16.9050836,52.3994011
Remiza,community_centre,,,16.8077567,52.3654501
,,,,16.9066173,52.4116315
,,,,16.8532828,52.4324053
,,,,16.991046,52.4482243
CyberMachina,,amusement_arcade,,16.9220551,52.4087597
Trops,nightclub,,,16.9488623,52.3980674
,,,,16.9918046,52.4479612
Centrum Inicjatyw Senioralnych,community_centre,,,16.9234794,52.4092054
Teatr Animacji,theatre,,,16.919154,52.4081466
Centrum Kultury Zamek,arts_centre,,,16.9191858,52.407776
Basen Posnania,,sports_centre,,16.943684,52.4284766
,,,,16.7998854,52.4194622
Cortique,theatre,,,16.9076415,52.4131214
Dram Whisky Explorers Bar,nightclub,,,16.9339582,52.4090917
,,,,16.9293235,52.4234334
Projekt Fifna,arts_centre,,,16.9084429,52.4092388
Mini park linowy Stare Zoo,,sports_centre,,16.9063714,52.4085076
,,,,16.9055264,52.4076389
,vending_machine,,,16.9242364,52.4563684
Hades,nightclub,,,16.9180137,52.4079322
Schron,nightclub,,,16.9212549,52.4051396
,,,,16.9146723,52.3868062
Hyćka Klub,nightclub,,,16.920807,52.4068184
,,,,16.9013666,52.3548745
,,,,16.8931875,52.4255088
Business Link Maraton,community_centre,,,16.9318522,52.3991758
Wielka Spluwa Laser Tag,,sports_centre,,16.9335397,52.4121788
,,,,16.9412221,52.3946594
,,,,16.9425562,52.3942742
,,,,16.9425216,52.3942411
,,,,16.9422406,52.3942553
,,,,16.9411354,52.3944852
,,,,16.942144,52.3941624
,,,,16.941571,52.3942457
,,,,16.9427452,52.3945808
,,,,16.8611006,52.3975656
,,,,16.8609882,52.3976133
,,,,16.8599756,52.3965786
,,,,16.8598667,52.3966232
Fragment muru Twierdzy Poznań,,,attraction,16.9313896,52.3992669
,theatre,,,16.9444625,52.4069293
Parowóz Tx26-423,,,attraction,16.9573863,52.4083748
billaboom,,sports_centre,,16.9105138,52.4091695
Grand Casino,casino,,,16.8932445,52.4007938
Kaponiera Kolejowa,,,attraction,16.9127624,52.4078364
Koziołki poznańskie,clock,,attraction,16.934244,52.4085235
,,,,16.8760722,52.4292232
,,,,16.838698,52.4304376
,,,,16.9414814,52.3951502
REZON Centrum Wspinaczkowe,,sports_centre,,16.8070319,52.3672505
Blok Haus,,sports_centre,,16.9654583,52.4180586
Galeria mil’ART,,,gallery,16.9339822,52.4099296
Blubry 6D,,,gallery,16.9340019,52.4100044
Gear UP!,flight_school,amusement_arcade,,16.9303672,52.4024924
,,,,16.8730161,52.4746586
,,,,16.873093,52.4746407
,,,,16.9365397,52.3972028
,,,,16.9347073,52.3970811
,,,,16.9347156,52.3971051
,,,,16.9372374,52.3941851
,,,,16.9337687,52.3948164
Korty tenisowe KW04,,sports_centre,,16.9375233,52.3959406
,,,,16.9375512,52.3955956
,,,,16.9369998,52.39549
PZL TS-8 Bies,,,attraction,16.883664,52.3843417
,,,,16.9270232,52.3943427
,,,,16.9286806,52.3939199
,,,,16.9286792,52.3928754
,,,,16.9326653,52.3931346
,,,,16.9303541,52.3942627
,,,,16.9309353,52.394273
,,,,16.9331312,52.3942849
,,,,16.9330983,52.3942044
,,,,16.9302761,52.3928762
,,,,16.9299448,52.3930132
,,,,16.9324868,52.3926932
,,,,16.9325133,52.3927588
Józef Piłsudski,,,,16.917903,52.4077242
Waga,,,attraction,16.928383,52.4069955
2progi,nightclub,,,16.9272983,52.4151732
,,,attraction,16.9290589,52.3678025
,,,,16.9712842,52.4196549
,,,,16.9713403,52.4196697
Klub Uczelniany AZS Politechniki Poznańskiej,,sports_centre,,16.948093,52.4028806
,,,,16.9955465,52.40457
,,,,16.9944101,52.4028483
Dark Angels,nightclub,,,16.9381313,52.407302
HAH Poznań,nightclub,,,16.9360236,52.4115998
,,,gallery,16.9346047,52.4062184
Łęctwo,,,gallery,16.9034015,52.3956689
X-Demon Poznań,nightclub,,,16.93161,52.4080653
,,,,16.9329135,52.4173754
Muzeum Uzbrojenia,,,attraction,16.9329361,52.4198475
,,,,16.8753175,52.4293534
,,,,16.8757635,52.4295061
,,,,16.8910597,52.3982348
,,,,16.8915444,52.3988839
C,,,,16.8913859,52.3975575
,,,,16.8891223,52.3984208
,,,,16.8905238,52.3976175
,,,,16.8888652,52.3976456
,,,,16.8888183,52.3976529
,,,,16.889064,52.3983344
,,,,16.8889945,52.3981103
,,,,16.8809393,52.4185658
KoLiber Poznań,community_centre,,,16.8984789,52.3974618
,,,,16.9963197,52.4576618
Dn2t Baziel,,,attraction,16.9557926,52.3845592
Tkt48-130,,,attraction,16.9550726,52.3843983
,,,,16.9531525,52.4264057
,,,,16.9533731,52.4264883
,,,,16.9525699,52.4265877
,,,,16.9297078,52.4122476
Dwór Grunwaldzki,,sports_centre,,16.9340869,52.3713218
EDU-ARTO,arts_centre,,,16.9457381,52.4552253
Paintball,,sports_centre,,16.9370888,52.4573965
Świetlica Wiejska,community_centre,,,16.8317052,52.4852918
Niebieskooka kobieta,,,artwork,16.9369855,52.4100475
,,,,16.9285054,52.4192501
Tablica poległych robotników kolejowych,,,,16.9178856,52.4080253
Pobyt Jana Dąbrowskiego i Józefa Wybickiego,,,,16.9335856,52.4088874
Miejsce utworzenia Klubu Demokratycznego,,,,16.9326384,52.4085305
Pałac Działyńskich,,,,16.9325902,52.4084081
,,,,16.9266051,52.404717
Koszary Kultury,arts_centre,,,16.8962674,52.4024016
,,,,16.9117031,52.4316644
,theatre,bandstand,,16.9702267,52.4073916
Sim-Center,,amusement_arcade,,16.9396188,52.4129089
Scena na Piętrze,theatre,,,16.9332973,52.4098496
,community_centre,,,16.9770724,52.4097791
Ogród,,,attraction,16.9268984,52.4135225
Projekt LAB,nightclub,,,16.9369231,52.4122211
,,,,16.9669557,52.3960778
,,,,16.966994,52.3961779
,,,,16.9671359,52.3962937
,,,,16.8877653,52.4282594
,,,,16.8895,52.4252396
,,,,16.8896298,52.4251242
,,,,16.8900068,52.4247892
,,,,16.8936402,52.4247897
,,,,16.9060447,52.4083674
,,,,16.9050566,52.4085368
Zagro Plaża Rataje,arts_centre,,,16.9403756,52.3954857
,,,,17.0113796,52.3988818
,,,,17.0112316,52.3993861
,,,,17.0106041,52.3993588
,,,,17.0107099,52.398834
,,,,16.9329532,52.3939345
Tor Kartingowy Le Mans,,sports_centre,,16.9914101,52.3827176
FlyPark,,sports_centre,,16.9931469,52.3817818
,,,,16.9436159,52.4262349
,,,,16.9456886,52.4269878
Centrum Zjawisk Teatralnych,theatre,,,16.8832824,52.4325357
Strzelnica kryta KSK Pretor,,sports_centre,,16.889182,52.3782173
,,,,16.9036246,52.4078478
,,,,16.9031378,52.4085415
Strzelnica myśliwska Lizawka,,sports_centre,,17.0235079,52.4201055
Strzelnica WKS Grunwald,,sports_centre,,16.9147393,52.3770214
Historia budynku,,,,16.9336342,52.4088818
,,,,16.8144171,52.3889864
Kino Pałacowe,cinema,,,16.9190504,52.4080805
Karma Centrum Wspinaczkowe,,sports_centre,,16.9032511,52.3620384
T-72,,,attraction,16.8921416,52.4303416
Galeria Śluza,,,gallery,16.9503055,52.4124852
Aula artis,arts_centre,,,16.9318992,52.4155586
,,,,16.8200212,52.4077577
,,,,16.8199715,52.4077877
,,,,16.9963139,52.4576483
,,,,16.8569313,52.4044477
Orlik,,sports_centre,,16.985227,52.3897509
Orlik,,sports_centre,,16.9704169,52.3903202
Orlik,,sports_centre,,16.937675,52.3842785
Orlik,,sports_centre,,16.9337885,52.3935025
Orlik,,sports_centre,,16.9221696,52.3855998
Orlik,,sports_centre,,16.8941303,52.3975476
Orlik,,sports_centre,,16.8608676,52.3922134
Orlik,,sports_centre,,16.814629,52.3853614
Orlik,,sports_centre,,16.8880035,52.4103697
Orlik,,sports_centre,,16.8799917,52.4332555
Orlik,,sports_centre,,16.9356387,52.4409835
Orlik,,sports_centre,,16.9237242,52.4544706
Orlik,,sports_centre,,16.9153867,52.4565332
wagon 113a,,,attraction,16.9547569,52.3843561
Żuraw wodny,,,attraction,16.9551654,52.3844274
Rogatka przejazdowa,,,attraction,16.9562768,52.3846938
Semafor,,,attraction,16.9553363,52.3844173
,,sports_centre,,16.983532,52.4650993
,vending_machine,,,16.9242363,52.456378
,,,gallery,16.8998287,52.3944203
Gameness Team,,sports_centre,,16.8382508,52.3805156
"Klub Seniora ""Uśmiech""",community_centre,,,16.8927254,52.4042128
Halkownia,,sports_centre,,16.9104592,52.3812588
Kuzi Sport,,sports_centre,,16.9656341,52.4143037
,,,,16.9241097,52.4028994
Poznańskie Towarzystwo Wioślarzy Tryton,,sports_centre,,16.9372931,52.3965765
Klub Wioślarski 04,,sports_centre,,16.9378137,52.396241
Szalony kapelusznik,nightclub,,,16.9293641,52.4031861
Teatr Komedia Poznań,theatre,,,16.8755499,52.3995036
Ogrodowa 12 Conference Center,community_centre,,,16.9257573,52.4038146
Salon gier na automatach,,amusement_arcade,,16.9067112,52.3625125
,,,,16.9417687,52.4681836
,,,,16.940995,52.4681769
,,,,16.9407674,52.4681745
Alibi Club,nightclub,,,16.9194499,52.4052824
Park Cytadela,,park,attraction,16.93533987267495,52.4217867285354
Ogród Botaniczny Uniwersytetu im. Adama Mickiewicza,,park,attraction,16.881098885391182,52.420243289259616
AZS Poznań,,sports_centre,,16.923237111459105,52.4178436356293
Ptaki wodne,,,attraction,17.004339861751536,52.40043830328992
Enea Stadion,,stadium,,16.858224332956823,52.397717630501354
Winner,,sports_centre,,16.856602851990367,52.404438291385645
Ratusz,townhall,,attraction,16.93401176401727,52.408566999552185
Multikino 51,cinema,,,16.929281054463594,52.39914781049945
,,pitch,,16.953221218144353,52.4128784564567
Stadion im. Edmunda Szyca,,stadium,,16.92932715721159,52.39622427421196
"Osiedlowy Dom Kultury ""Słońce""",community_centre,,,16.925112522809865,52.431440776797096
,theatre,,,16.9438934989482,52.42248555754558
,,stadium,,16.94354386172967,52.42716157497649
Cinema City Poznań Kinepolis,cinema,,,16.980576064304163,52.373459475018244
,,sports_centre,,16.945062343045322,52.427978197658184
Wyspa Lemurów,,,attraction,16.906605022905005,52.407566362603724
Ptaszarnia,,,attraction,16.90353108145403,52.4078241585728
Letnia woliera małp,,,attraction,16.90300954750478,52.40823418841359
Grota,,,attraction,16.903290175275366,52.40837350736285
Red Oak,,sports_centre,,16.95645315719723,52.405749068325925
Bula Park,,sports_centre,,16.98695498024295,52.40254094621438
Pływalnia Uniwersytecka,,sports_centre,,16.94047137405904,52.46817914171243
Hala Uniwersytecka,,sports_centre,,16.94137822964167,52.46833953114306
Hala Sportowa,,sports_centre,,16.930402014717718,52.46554715687008
Centrum Sportowe UM,university,sports_centre,,16.89089269704399,52.40579338272312
Teatr Polski,theatre,,,16.923711047817854,52.40860122415559
Kortowo,,sports_centre,,16.859947619171468,52.35361457808951
Pawilon zwierząt nocnych,,,attraction,16.99510420242398,52.39943759664824
Foka pospolita,,,attraction,16.9952116612555,52.40001745949652
Pałac Mielżyńskich,,,attraction,16.933662410416428,52.409086955419184
Pływalnia Miejska Atlantis,,sports_centre,,16.924482055815073,52.45621425214285
,,,attraction,16.974369183513446,52.48799290381408
Hala Sportowa w Czerwonaku,,sports_centre,,16.983287878539766,52.46475626887456
,,sports_centre,,16.93847875643911,52.384252857765674
Pływalnia AKWEN,,sports_centre,,16.991465411214385,52.44825422992411
Orlik 2012,,sports_centre,,16.996395885494767,52.457462818024055
Kościół pw. św. Józefa Oblubieńca NMP,place_of_worship,,attraction,17.022860970621192,52.46195274147614
"Osiedlowy Dom Kultury ""Pod Lipami""",community_centre,,,16.940372196626402,52.431154240830054
,,sports_centre,,16.93362590948924,52.37163491011784
GOS Hala Sportowa,,sports_centre,,16.872643280606393,52.474917344609686
Krąg - dom kultury,community_centre,,,16.89993735270023,52.3905733223053
Hala sportowa,,sports_centre,,16.8924424,52.386489850000004
,,sports_centre,,16.870465067435877,52.38723532029723
,,sports_centre,,16.8392543,52.3900641
Hangar,,sports_centre,,16.96248367783188,52.44544094898847
"Osiedlowy Dom Kultury ""Orbita""",community_centre,,,16.9457563997148,52.43694669997962
Młodzieżowy Dom Kultury nr 2,community_centre,,,16.929299256347992,52.42341660185
Unilever Polska,,,attraction,16.980279796936163,52.42701521750036
Apollo,cinema,,,16.92653473700796,52.404559734411166
Tor Poznań,,sports_centre,,16.806462824908277,52.41791062014038
Młodzieżowy Dom Kultury nr 1,community_centre,,,16.93516862541328,52.393638272594124
Stary Browar (Pasaż),,,attraction,16.925462579435774,52.40241636894905
,,sports_centre,,16.96710434832319,52.39616138698052
Kryte Lodowisko Malta,,ice_rink,,16.95480149705954,52.40512202639748
Funcube,,amusement_arcade,,16.993541288273473,52.382298821666
Multikino,cinema,,,16.924417780457375,52.40277879958904
Stary Browar (Atrium),,,attraction,16.92790741570788,52.40146786269829
,,sports_centre,,16.932981510164712,52.425657974266166
,,sports_centre,,16.88959255764594,52.38891880141904
,,sports_centre,,16.873870049999997,52.41617894999999
,,ice_rink,,16.933901186206445,52.41436407250978
,,sports_centre,,16.9270499,52.45851345
,,sports_centre,,16.924480843388455,52.45864368131688
,,sports_centre,,16.9268023,52.45851389999999
,,pitch,,16.954196,52.41298235
Rialto,cinema,,,16.906580316053812,52.41152867703747
boisko sportowe,,sports_centre,,16.904967931374717,52.454362159232545
,,sports_centre,,16.912446336818356,52.46367862903428
Scena Robocza,theatre,,,16.899169878875973,52.40487023003989
Basen osiedlowy,,sports_centre,,16.964700121197207,52.398765411249705
Rozbrat,community_centre,,,16.918370514369492,52.41756552080807
Atlantis Fitness Club,,sports_centre,,16.819843605118578,52.40770964296357
Pawilon,,,gallery,16.940359834623358,52.40780585799135
Arena,,sports_centre,,16.892077601189285,52.397712158592235
Scena Wspólna,theatre,,,16.93518696177568,52.42511001964526
Pływalnia letnia,,sports_centre,,16.9275233303732,52.39303575173032
CITYZEN,,sports_centre,,16.932577126837742,52.395118699953514
Wyspa lemurów katta,,,attraction,17.00180840740972,52.3985139660837
Słonie,,,attraction,17.008839697332355,52.3993132272903
Sokół,community_centre,,,16.980873564697994,52.465155978722194
Madalina,community_centre,,,16.913968908877596,52.38639744038817
,,sports_centre,,16.99144549397333,52.448035352480794
,,track,,16.979081998596715,52.39864288319929
,,track,,16.977835532046278,52.39892275298702
,,track,,16.97774134948365,52.39961132153425
KS Warta Poznań,,sports_centre,,16.931383598671502,52.39325193287213
Teatr Wielki,theatre,,,16.917697072141866,52.41019504419641
Centrum Kultury i Biblioteka Publiczna,community_centre,,,16.874465612360815,52.47363732372155
Boisko Przepadek,,sports_centre,,16.927729176113,52.418522905931425
Dom Kultury Romskiej,community_centre,,,16.88830115918387,52.37757825785703
Pałac Działyńskich,,,attraction,16.932262834676674,52.40850311632799
Stare Zoo,,,zoo,16.904939553349642,52.40809984990492
Pawilon Zwierząt Zmiennocieplnych,,,attraction,16.905583531237653,52.4084027250932
"Strzelnica ""Magnum""",,sports_centre,,16.901385991109116,52.4311197037748
Brodziak Gallery,,,gallery,16.907455860097805,52.4012650931769
,,sports_centre,,16.92258585,52.41734725
,,,,16.923219056725866,52.418016904483046
Świetlica,community_centre,,,16.930238507803935,52.412591419084464
,theatre,,,16.925321408814142,52.40082499593261
Młodzieżowy Ośrodek Sportowy,,sports_centre,,16.953586341852663,52.412995774185426
Amfiteatr nad Cybiną,theatre,,,16.951269089582222,52.412334840193196
Klub Jutrzenka,community_centre,,,17.019471841771132,52.4658144979312
Centrum Kultury i Rekreacji,community_centre,,,16.991530535058015,52.447896787872544
Nowe Zoo,,,zoo,17.0051990109229,52.39978716403464
Ośrodek Przywodny Rataje,,sports_centre,,16.938085211266795,52.38402936262495
Przystań KS Warta,,sports_centre,,16.94168530632108,52.39377588452416
KS Energetyk - Sekcja Kajakowa,,sports_centre,,16.940682080692202,52.39171485901853
,theatre,,,16.941010184848068,52.390838593277216
Przystań KS Posnania,,sports_centre,,16.942162998290332,52.39494284753671
Towarzystwo Wioślarzy Polonia,,sports_centre,,16.941911470550927,52.39450494461899
,theatre,,,16.944801757840803,52.40598384397391
Termy Maltańskie,,sports_centre,,16.973887483314947,52.405125481411375
,,track,,16.9768722,52.3993155
,,track,,16.9768904,52.399228050000005
Kozy i osły,,,attraction,16.994154299395433,52.399837623461025
Kucyki szetlandzkie,,,attraction,16.994109303809164,52.39963386237791
Kozy,,,attraction,16.994355488266812,52.39997146378791
"Owca kameruńska, świnia wietnamska i kozy",,,attraction,16.9942228651173,52.399994461995185
Bociany czarnodziobe,,,attraction,16.995090704127797,52.40074814976602
Siki wietnamskie,,,attraction,16.995586828516952,52.400964310295755
Marabuty,,,attraction,16.995779755125753,52.40149989773149
Dzioborożce białodziobe,,,attraction,16.995978260702252,52.40134327731668
Świnie wisajskie,,,attraction,16.99507229803841,52.402288268641705
Kangury,,,attraction,16.99548960707619,52.40187459070826
Emu,,,attraction,16.995873157814383,52.4019106314051
Żubry,,,attraction,17.00335188596606,52.40274000940997
Jelenie milu,,,attraction,17.001145719976215,52.40256069858644
Wydra europejska,,,attraction,16.998502609268407,52.402535536596744
Nosorożce białe,,,attraction,16.999009027508443,52.40275960293692
Kazuary,,,attraction,16.996256264754706,52.402372343213
Jelenie Alfreda i baweańskie,,,attraction,16.99573677216621,52.40235087918934
Antylopy nilgau i ssaki,,,attraction,16.99894923324397,52.40202459069106
Takiny,,,attraction,17.00006276731933,52.40032549372548
Insektarium,,,zoo,17.0039095,52.40163755
Pawilon drobnych ssaków,,,attraction,17.0010616,52.4015312
Fauna Afryki,,,attraction,16.99711059229893,52.39747920646155
Żyrafy,,,attraction,16.998511896043734,52.39806638757288
Pandy rude,,,attraction,16.99579774452284,52.39953392290201
Sitatungi i dzioborożce abisyńskie,,,attraction,16.996716214010277,52.40152370752786
Antylopa tomi,,,attraction,16.99809167047389,52.401719885813634
Ptaki drapieżne,,,attraction,16.9955283297821,52.39806443269644
Makaki japońskie,,,attraction,17.006369919776702,52.402190984686115
Niedźwiedzie brunatne,,,attraction,17.002449149229214,52.39727541555858
Bizony leśne,,,attraction,17.01232812032523,52.40269605557801
Tygrysy syberyjskie,,,attraction,17.006107116647115,52.39977676684496
Ostronosy rude,,,attraction,17.001294270014093,52.397740822048355
Fauna Ameryki Południowej,,,attraction,17.000019110399343,52.3972588076807
Susły moręgowane,,,attraction,17.01138846609112,52.400599802687935
Wielbłądy dwugarbne,,,attraction,17.01206960922945,52.400934970301826
Wielbłądy,,,attraction,17.010443745018726,52.40020034499235
Ptaki,,,attraction,16.99513781491374,52.39921112841539
ASG Park Malta,,sports_centre,,16.988529576898983,52.40439141846752
